Landkreis	Bundesland	Population	Cases	Deaths	Cases_Per_Million	Deaths_Per_Million	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent	DoublingTime_Cases_Last_Week_Per_100000
Flensburg (Kreisfreie Stadt)	Schleswig-Holstein	90164	279	3	3094	33	4.0	58.0	
Kiel (Kreisfreie Stadt)	Schleswig-Holstein	246794	936	16	3792	64	1.2	70.3	
Lübeck (Kreisfreie Stadt)	Schleswig-Holstein	216530	972	5	4488	23	2.2	71.7	
Neumünster (Kreisfreie Stadt)	Schleswig-Holstein	80196	377	4	4700	49	0.0	76.0	
Dithmarschen (Kreis)	Schleswig-Holstein	133193	510	13	3829	97	2.3	75.0	
Herzogtum Lauenburg (Kreis)	Schleswig-Holstein	198019	834	22	4211	111	5.0	65.0	
Nordfriesland (Kreis)	Schleswig-Holstein	165951	594	3	3579	18	0.0	51.7	
Ostholstein (Kreis)	Schleswig-Holstein	200539	468	1	2333	4	2.0	54.9	
Pinneberg (Kreis)	Schleswig-Holstein	316103	1905	49	6026	155	12.9	58.1	
Plön (Kreis)	Schleswig-Holstein	128686	283	8	2199	62	33.3	58.3	
Rendsburg-Eckernförde (Kreis)	Schleswig-Holstein	274098	816	16	2977	58	2.4	64.3	
Schleswig-Flensburg (Kreis)	Schleswig-Holstein	201156	488	6	2425	29	4.2	66.7	
Segeberg (Kreis)	Schleswig-Holstein	277175	1337	31	4823	111	1.7	65.8	
Steinburg (Kreis)	Schleswig-Holstein	131013	370	3	2824	22	6.1	71.4	
Stormarn (Kreis)	Schleswig-Holstein	244156	1454	47	5955	192	6.2	64.6	52.6
Regionalverband Saarbrücken (Landkreis)	Saarland	328714	3779	121	11496	368	21.7	74.8	
Merzig-Wadern (Landkreis)	Saarland	103243	1089	16	10547	154	16.7	61.1	8.2
Neunkirchen (Landkreis)	Saarland	131408	1257	13	9565	98	14.6	75.6	
Saarlouis (Landkreis)	Saarland	194319	2076	25	10683	128	10.3	79.3	
Saarpfalz-Kreis (Landkreis)	Saarland	142196	1179	20	8291	140	7.9	55.5	
St. Wendel (Landkreis)	Saarland	87007	920	22	10573	252	15.4	38.5	
Berlin Reinickendorf (Bezirk)	Berlin	259689	3752	31	14448	119	23.1	87.2	31.1
Berlin Charlottenburg-Wilmersdorf (Bezirk)	Berlin	334401	4474	28	13379	83	23.1	87.2	42.6
Berlin Treptow-Köpenick (Bezirk)	Berlin	266488	1916	15	7189	56	23.1	87.2	50.4
Berlin Pankow (Bezirk)	Berlin	398036	3799	45	9544	113	23.1	87.2	
Berlin Neukölln (Bezirk)	Berlin	321123	7083	62	22056	193	23.1	87.2	
Berlin Lichtenberg (Bezirk)	Berlin	286522	2532	32	8837	111	23.1	87.2	42.9
Berlin Marzahn-Hellersdorf (Bezirk)	Berlin	262967	1992	15	7575	57	23.1	87.2	38.4
Berlin Spandau (Bezirk)	Berlin	239019	3022	19	12643	79	23.1	87.2	
Berlin Steglitz-Zehlendorf (Bezirk)	Berlin	302177	3186	20	10543	66	23.1	87.2	43.4
Berlin Mitte (Bezirk)	Berlin	375238	7298	36	19448	95	23.1	87.2	12.1
Berlin Friedrichshain-Kreuzberg (Bezirk)	Berlin	282059	4685	27	16610	95	23.1	87.2	
Berlin Tempelhof-Schöneberg (Bezirk)	Berlin	341772	5300	41	15507	119	23.1	87.2	58.1
Brandenburg an der Havel (Kreisfreie Stadt)	Brandenburg	72184	258	2	3574	27	3.8	67.9	
Cottbus (Kreisfreie Stadt)	Brandenburg	99678	477	9	4785	90	11.6	64.2	
Frankfurt (Oder) (Kreisfreie Stadt)	Brandenburg	57751	243	3	4207	51	6.7	80.0	
Potsdam (Kreisfreie Stadt)	Brandenburg	180334	1289	51	7147	282	13.8	76.2	27.6
Barnim (Landkreis)	Brandenburg	185244	1157	41	6245	221	18.5	92.3	52.6
Dahme-Spreewald (Landkreis)	Brandenburg	170791	873	10	5111	58	3.9	82.4	
Elbe-Elster (Landkreis)	Brandenburg	101827	671	7	6589	68	8.6	65.7	
Havelland (Landkreis)	Brandenburg	162996	735	8	4509	49	13.0	69.6	
Märkisch-Oderland (Landkreis)	Brandenburg	195751	880	15	4495	76	23.1	73.1	
Oberhavel (Landkreis)	Brandenburg	212914	1100	10	5166	46	7.0	40.4	24.8
Oberspreewald-Lausitz (Landkreis)	Brandenburg	109371	643	5	5879	45	25.0	58.3	
Oder-Spree (Landkreis)	Brandenburg	178803	887	11	4960	61	7.8	64.1	
Ostprignitz-Ruppin (Landkreis)	Brandenburg	98861	411	0	4157	0	7.2	71.0	
Potsdam-Mittelmark (Landkreis)	Brandenburg	216566	1370	42	6326	193	1.2	80.5	
Prignitz (Landkreis)	Brandenburg	76158	252	3	3308	39	0.0	71.4	
Spree-Neiße (Landkreis)	Brandenburg	113720	863	12	7588	105	11.1	66.7	
Teltow-Fläming (Landkreis)	Brandenburg	169997	821	14	4829	82	5.6	55.6	
Uckermark (Landkreis)	Brandenburg	118947	330	8	2774	67	10.7	75.0	
Rostock (Kreisfreie Stadt)	Mecklenburg-Vorpommern	209191	520	4	2485	19	4.7	80.4	
Schwerin (Kreisfreie Stadt)	Mecklenburg-Vorpommern	95653	307	2	3209	20	2.8	88.7	
Mecklenburgische Seenplatte (Landkreis)	Mecklenburg-Vorpommern	258074	632	8	2448	30	9.9	80.2	
Rostock (Landkreis)	Mecklenburg-Vorpommern	215794	439	5	2034	23	3.2	56.5	
Vorpommern-Rügen (Landkreis)	Mecklenburg-Vorpommern	224702	610	5	2714	22	1.7	69.5	
Nordwestmecklenburg (Landkreis)	Mecklenburg-Vorpommern	157322	441	3	2803	19	18.8	62.5	
Vorpommern-Greifswald (Landkreis)	Mecklenburg-Vorpommern	235623	904	9	3836	38	5.1	79.7	
Ludwigslust-Parchim (Landkreis)	Mecklenburg-Vorpommern	211779	611	4	2885	18	0.0	78.2	
Chemnitz (Kreisfreie Stadt)	Sachsen	246334	1930	14	7834	56	11.8	84.3	
Erzgebirgskreis (Landkreis)	Sachsen	334948	5848	131	17459	391	31.6	67.4	
Mittelsachsen (Landkreis)	Sachsen	304099	2554	11	8398	36	17.6	80.4	
Vogtlandkreis (Landkreis)	Sachsen	225997	1850	52	8185	230	13.2	72.1	
Zwickau (Landkreis)	Sachsen	315002	3086	77	9796	244	19.8	79.2	18.6
Dresden (Kreisfreie Stadt)	Sachsen	556780	4024	32	7227	57	13.1	81.7	
Bautzen (Landkreis)	Sachsen	299758	4075	43	13594	143	37.5	77.8	
Görlitz (Landkreis)	Sachsen	252725	2956	65	11696	257	30.0	82.9	
Meißen (Landkreis)	Sachsen	241717	1884	49	7794	202	26.5	77.9	
Sächsische Schweiz-Osterzgebirge (Landkreis)	Sachsen	245586	2518	32	10253	130	28.0	40.9	
Leipzig (Kreisfreie Stadt)	Sachsen	593145	2629	18	4432	30	6.0	80.8	18.8
Leipzig (Landkreis)	Sachsen	258139	1403	11	5435	42	5.2	63.8	30.1
Nordsachsen (Landkreis)	Sachsen	197741	1326	11	6705	55	1.7	63.8	
Dessau-Roßlau (Kreisfreie Stadt)	Sachsen-Anhalt	80103	208	4	2596	49	0.0	55.8	
Halle (Saale) (Kreisfreie Stadt)	Sachsen-Anhalt	238762	1190	15	4984	62	5.8	84.1	
Magdeburg (Kreisfreie Stadt)	Sachsen-Anhalt	237565	1252	11	5270	46	3.8	80.6	
Altmarkkreis Salzwedel (Landkreis)	Sachsen-Anhalt	83173	218	3	2621	36	11.1	77.8	
Anhalt-Bitterfeld (Landkreis)	Sachsen-Anhalt	158486	411	4	2593	25	8.8	54.4	28.4
Börde (Landkreis)	Sachsen-Anhalt	170923	625	14	3656	81	22.9	37.1	
Burgenlandkreis (Landkreis)	Sachsen-Anhalt	178846	825	14	4612	78	2.6	64.1	16.4
Harz (Landkreis)	Sachsen-Anhalt	213310	728	6	3412	28	3.0	63.6	
Jerichower Land (Landkreis)	Sachsen-Anhalt	89589	464	5	5179	55	10.3	69.0	21.0
Mansfeld-Südharz (Landkreis)	Sachsen-Anhalt	134942	364	2	2697	14	0.0	50.0	
Saalekreis (Landkreis)	Sachsen-Anhalt	183815	636	9	3460	48	3.7	51.9	16.2
Salzlandkreis (Landkreis)	Sachsen-Anhalt	189125	633	3	3346	15	6.4	87.2	
Stendal (Landkreis)	Sachsen-Anhalt	111190	308	9	2770	80	0.0	54.2	
Wittenberg (Landkreis)	Sachsen-Anhalt	124953	521	7	4169	56	0.0	38.5	
Erfurt (Kreisfreie Stadt)	Thüringen	213981	1013	15	4734	70	10.1	73.0	
Gera (Kreisfreie Stadt)	Thüringen	93125	616	27	6614	289	10.9	97.8	
Jena (Kreisfreie Stadt)	Thüringen	111343	544	4	4885	35	6.8	89.8	
Suhl (Kreisfreie Stadt)	Thüringen	36789	107	2	2908	54	6.2	37.5	
Weimar (Kreisfreie Stadt)	Thüringen	65228	369	0	5657	0	0.0	75.0	
Eisenach (Kreisfreie Stadt)	Thüringen	42250	106	5	2508	118	0.0	60.0	
Eichsfeld (Landkreis)	Thüringen	100006	658	16	6579	159	12.5	66.7	
Nordhausen (Landkreis)	Thüringen	83416	221	2	2649	23	12.0	53.3	
Wartburgkreis (Landkreis)	Thüringen	118974	332	3	2790	25	1.3	75.3	
Unstrut-Hainich-Kreis (Landkreis)	Thüringen	102232	538	12	5262	117	19.8	42.3	9.2
Kyffhäuserkreis (Landkreis)	Thüringen	74212	264	3	3557	40	0.0	77.8	
Schmalkalden-Meiningen (Landkreis)	Thüringen	124916	686	12	5491	96	9.6	80.8	
Gotha (Landkreis)	Thüringen	134908	655	33	4855	244	0.0	46.2	6.8
Sömmerda (Landkreis)	Thüringen	69427	323	2	4652	28	0.0	62.5	
Hildburghausen (Landkreis)	Thüringen	63197	525	5	8307	79	12.5	50.0	18.7
Ilm-Kreis (Landkreis)	Thüringen	106249	510	7	4800	65	0.0	52.9	6.4
Weimarer Land (Landkreis)	Thüringen	82156	418	7	5087	85	7.9	74.3	
Sonneberg (Landkreis)	Thüringen	57717	560	29	9702	502	0.0	41.7	9.3
Saalfeld-Rudolstadt (Landkreis)	Thüringen	103199	373	5	3614	48	0.0	45.5	
Saale-Holzland-Kreis (Landkreis)	Thüringen	82950	466	11	5617	132	0.0	50.0	
Saale-Orla-Kreis (Landkreis)	Thüringen	80312	374	12	4656	149	0.0	50.0	
Greiz (Landkreis)	Thüringen	97398	967	48	9928	492	0.0	70.0	
Altenburger Land (Landkreis)	Thüringen	89393	594	4	6644	44	2.4	51.2	38.8
Hamburg (Kreisfreie Stadt)	Hamburg	1847253	20405	314	11046	169	11.8	79.9	
Braunschweig (Kreisfreie Stadt)	Niedersachsen	249406	1275	20	5112	80	2.8	67.6	
Salzgitter (Kreisfreie Stadt)	Niedersachsen	104291	971	16	9310	153	27.6	79.3	9.4
Wolfsburg (Kreisfreie Stadt)	Niedersachsen	124371	757	53	6086	426	5.6	66.7	
Gifhorn (Landkreis)	Niedersachsen	176523	762	7	4316	39	17.4	87.0	16.6
Goslar (Landkreis)	Niedersachsen	136292	578	27	4240	198	6.4	66.0	
Helmstedt (Landkreis)	Niedersachsen	91297	363	2	3976	21	3.8	53.8	
Northeim (Landkreis)	Niedersachsen	132285	539	7	4074	52	4.8	81.0	
Peine (Landkreis)	Niedersachsen	134801	923	15	6847	111	0.0	50.0	17.7
Wolfenbüttel (Landkreis)	Niedersachsen	119622	604	21	5049	175	25.0	75.0	20.7
Göttingen (Landkreis)	Niedersachsen	326041	2257	88	6922	269	3.8	77.4	
Region Hannover (Landkreis)	Niedersachsen	1157115	10034	169	8671	146	6.0	63.3	
Diepholz (Landkreis)	Niedersachsen	217089	1847	28	8508	128	31.6	52.6	
Hameln-Pyrmont (Landkreis)	Niedersachsen	148549	778	9	5237	60	2.9	82.9	
Hildesheim (Landkreis)	Niedersachsen	275817	1889	37	6848	134	10.8	75.7	
Holzminden (Landkreis)	Niedersachsen	70458	208	7	2952	99	0.0	71.4	
Nienburg (Weser) (Landkreis)	Niedersachsen	121390	478	4	3937	32	8.3	87.5	
Schaumburg (Landkreis)	Niedersachsen	157820	992	10	6285	63	9.5	90.5	
Celle (Landkreis)	Niedersachsen	179011	903	18	5044	100	14.3	68.6	42.4
Cuxhaven (Landkreis)	Niedersachsen	198038	1014	25	5120	126	20.0	66.7	
Harburg (Landkreis)	Niedersachsen	254431	1725	28	6779	110	11.1	77.8	
Lüchow-Dannenberg (Landkreis)	Niedersachsen	48412	154	5	3181	103	0.0	100.0	
Lüneburg (Landkreis)	Niedersachsen	184139	655	2	3557	10	11.9	81.0	
