Date	Landkreise mit Neu-Infektionen in 7 Tagen
2020-01-28	0
2020-01-29	0
2020-01-30	0
2020-01-31	0
2020-02-01	0
2020-02-02	0
2020-02-03	0
2020-02-04	6
2020-02-05	6
2020-02-06	6
2020-02-07	6
2020-02-08	6
2020-02-09	6
2020-02-10	5
2020-02-11	4
2020-02-12	5
2020-02-13	4
2020-02-14	3
2020-02-15	3
2020-02-16	3
2020-02-17	3
2020-02-18	1
2020-02-19	0
2020-02-20	0
2020-02-21	0
2020-02-22	0
2020-02-23	0
2020-02-24	1
2020-02-25	3
2020-02-26	7
2020-02-27	12
2020-02-28	26
2020-02-29	30
2020-03-01	42
2020-03-02	54
2020-03-03	76
2020-03-04	99
2020-03-05	122
2020-03-06	137
2020-03-07	155
2020-03-08	165
2020-03-09	201
2020-03-10	252
2020-03-11	299
2020-03-12	342
2020-03-13	364
2020-03-14	374
2020-03-15	383
2020-03-16	393
2020-03-17	400
2020-03-18	405
2020-03-19	408
2020-03-20	410
2020-03-21	411
2020-03-22	411
2020-03-23	411
2020-03-24	411
2020-03-25	411
2020-03-26	411
2020-03-27	410
2020-03-28	410
2020-03-29	410
2020-03-30	411
2020-03-31	412
2020-04-01	412
2020-04-02	411
2020-04-03	412
2020-04-04	412
2020-04-05	412
2020-04-06	412
2020-04-07	412
2020-04-08	412
2020-04-09	412
2020-04-10	411
2020-04-11	412
2020-04-12	412
2020-04-13	409
2020-04-14	408
2020-04-15	409
2020-04-16	409
2020-04-17	406
2020-04-18	405
2020-04-19	403
2020-04-20	404
2020-04-21	405
2020-04-22	402
2020-04-23	403
2020-04-24	400
2020-04-25	404
2020-04-26	403
2020-04-27	401
2020-04-28	398
2020-04-29	395
2020-04-30	396
2020-05-01	394
2020-05-02	394
2020-05-03	393
2020-05-04	393
2020-05-05	391
2020-05-06	386
2020-05-07	381
2020-05-08	377
2020-05-09	372
2020-05-10	373
2020-05-11	372
2020-05-12	361
2020-05-13	363
2020-05-14	367
2020-05-15	366
2020-05-16	360
2020-05-17	362
2020-05-18	358
2020-05-19	358
2020-05-20	353
2020-05-21	338
2020-05-22	336
2020-05-23	328
2020-05-24	329
2020-05-25	328
2020-05-26	321
2020-05-27	322
2020-05-28	328
2020-05-29	322
2020-05-30	327
2020-05-31	328
2020-06-01	321
2020-06-02	315
2020-06-03	304
2020-06-04	296
2020-06-05	296
2020-06-06	295
2020-06-07	298
2020-06-08	309
2020-06-09	303
2020-06-10	291
2020-06-11	283
2020-06-12	280
2020-06-13	279
2020-06-14	276
2020-06-15	275
2020-06-16	273
2020-06-17	281
2020-06-18	286
2020-06-19	285
2020-06-20	282
2020-06-21	286
2020-06-22	288
2020-06-23	286
2020-06-24	279
2020-06-25	279
2020-06-26	279
2020-06-27	280
2020-06-28	281
2020-06-29	284
2020-06-30	284
2020-07-01	284
2020-07-02	293
2020-07-03	300
2020-07-04	299
2020-07-05	302
2020-07-06	309
2020-07-07	295
2020-07-08	300
2020-07-09	297
2020-07-10	296
2020-07-11	297
2020-07-12	299
2020-07-13	302
2020-07-14	312
2020-07-15	317
2020-07-16	316
2020-07-17	320
2020-07-18	318
2020-07-19	317
2020-07-20	316
2020-07-21	317
2020-07-22	325
2020-07-23	329
2020-07-24	332
2020-07-25	333
2020-07-26	331
2020-07-27	326
2020-07-28	332
2020-07-29	345
2020-07-30	343
2020-07-31	341
2020-08-01	342
2020-08-02	341
2020-08-03	350
2020-08-04	352
2020-08-05	352
2020-08-06	367
2020-08-07	363
2020-08-08	367
2020-08-09	371
2020-08-10	375
2020-08-11	379
2020-08-12	383
2020-08-13	385
2020-08-14	392
2020-08-15	393
2020-08-16	395
2020-08-17	404
2020-08-18	403
2020-08-19	397
2020-08-20	395
2020-08-21	397
2020-08-22	400
2020-08-23	402
2020-08-24	401
2020-08-25	398
2020-08-26	398
2020-08-27	395
2020-08-28	393
2020-08-29	394
2020-08-30	396
2020-08-31	395
2020-09-01	393
2020-09-02	398
2020-09-03	394
2020-09-04	392
2020-09-05	392
2020-09-06	393
2020-09-07	393
2020-09-08	391
2020-09-09	389
2020-09-10	394
2020-09-11	396
2020-09-12	398
2020-09-13	399
2020-09-14	402
2020-09-15	405
2020-09-16	404
2020-09-17	405
2020-09-18	404
2020-09-19	402
