Date	betten_ges	betten_belegt	betten_belegt_proz	faelle_covid_aktuell	faelle_covid_aktuell_proz	faelle_covid_aktuell_beatmet	faelle_covid_aktuell_beatmet_proz
2020-06-26	160	132	82.5	0	0.0	0	0
2020-08-05	155	127	81.9	0	0.0	0	0
2020-08-23	158	127	80.4	1	0.6	0	0.0
2020-09-12	167	131	78.4	0	0.0	0	0
2020-05-16	169	118	69.8	1	0.6	0	0.0
2020-09-08	166	133	80.1	2	1.2	1	50.0
2020-04-29	164	129	78.7	16	9.8	9	56.2
2020-06-27	166	130	78.3	0	0.0	0	0
2020-05-01	164	132	80.5	13	7.9	7	53.8
2020-08-07	156	121	77.6	0	0.0	0	0
2020-08-16	166	119	71.7	0	0.0	0	0
2020-06-10	160	115	71.9	0	0.0	0	0
2020-06-08	165	113	68.5	0	0.0	0	0
2020-09-05	166	130	78.3	1	0.6	1	100.0
2020-04-27	163	124	76.1	18	11.0	19	105.6
2020-06-02	161	114	70.8	0	0.0	0	0
2020-09-02	163	131	80.4	1	0.6	1	100.0
2020-08-26	168	129	76.8	1	0.6	0	0.0
2020-06-15	157	122	77.7	0	0.0	0	0
2020-05-26	174	119	68.4	1	0.6	0	0.0
2020-09-18	165	131	79.4	0	0.0	0	0
2020-08-27	170	133	78.2	1	0.6	0	0.0
2020-05-08	167	125	74.9	6	3.6	3	50.0
2020-06-17	162	130	80.2	1	0.6	0	0.0
2020-04-30	164	134	81.7	16	9.8	9	56.2
2020-05-03	164	131	79.9	13	7.9	5	38.5
2020-08-18	167	122	73.1	0	0.0	0	0
2020-07-29	163	131	80.4	0	0.0	0	0
2020-07-05	166	122	73.5	0	0.0	0	0
2020-07-10	159	126	79.2	0	0.0	0	0
2020-07-03	166	134	80.7	0	0.0	0	0
2020-09-15	164	131	79.9	0	0.0	0	0
2020-09-20	162	130	80.2	0	0.0	0	0
2020-05-07	167	131	78.4	8	4.8	4	50.0
2020-07-11	159	126	79.2	0	0.0	0	0
2020-05-27	175	117	66.9	1	0.6	0	0.0
2020-05-22	260	128	49.2	1	0.4	0	0.0
2020-08-19	166	123	74.1	1	0.6	0	0.0
2020-07-30	162	125	77.2	0	0.0	0	0
2020-07-27	158	119	75.3	0	0.0	0	0
2020-05-10	166	127	76.5	3	1.8	1	33.3
2020-05-23	173	127	73.4	1	0.6	0	0.0
2020-04-26	163	126	77.3	18	11.0	10	55.6
2020-05-14	169	120	71.0	2	1.2	0	0.0
2020-05-04	167	122	73.1	10	6.0	4	40.0
2020-07-12	159	126	79.2	0	0.0	0	0
2020-06-18	160	134	83.8	0	0.0	0	0
2020-08-17	164	113	68.9	0	0.0	0	0
2020-09-13	167	125	74.9	0	0.0	0	0
2020-07-21	155	130	83.9	0	0.0	0	0
2020-08-12	157	124	79.0	0	0.0	0	0
2020-08-03	158	118	74.7	0	0.0	0	0
2020-09-07	165	131	79.4	1	0.6	1	100.0
2020-07-23	157	134	85.4	0	0.0	0	0
2020-09-16	165	133	80.6	0	0.0	0	0
2020-06-25	160	132	82.5	0	0.0	0	0
2020-07-09	166	133	80.1	0	0.0	0	0
2020-07-07	169	130	76.9	0	0.0	0	0
2020-06-12	159	123	77.4	0	0.0	0	0
2020-08-13	152	124	81.6	0	0.0	0	0
2020-07-13	160	122	76.2	0	0.0	0	0
2020-09-14	165	125	75.8	0	0.0	0	0
2020-05-17	168	120	71.4	1	0.6	0	0.0
2020-05-15	170	111	65.3	1	0.6	0	0.0
2020-05-12	169	116	68.6	3	1.8	1	33.3
2020-08-10	156	110	70.5	0	0.0	0	0
2020-09-10	168	130	77.4	1	0.6	1	100.0
2020-06-07	162	122	75.3	0	0.0	0	0
2020-07-24	160	128	80.0	0	0.0	0	0
2020-07-20	156	127	81.4	0	0.0	0	0
2020-07-25	160	126	78.8	0	0.0	0	0
2020-07-17	158	131	82.9	0	0.0	0	0
2020-07-08	168	128	76.2	0	0.0	0	0
2020-05-21	175	126	72.0	1	0.6	0	0.0
2020-05-18	169	112	66.3	1	0.6	0	0.0
2020-09-17	162	128	79.0	0	0.0	0	0
2020-09-03	162	132	81.5	1	0.6	1	100.0
2020-08-01	160	125	78.1	0	0.0	0	0
2020-09-11	167	128	76.6	0	0.0	0	0
2020-08-15	166	126	75.9	0	0.0	0	0
2020-06-23	160	134	83.8	0	0.0	0	0
2020-06-16	162	129	79.6	0	0.0	0	0
2020-06-01	162	119	73.5	0	0.0	0	0
2020-06-03	161	120	74.5	0	0.0	0	0
2020-06-04	164	125	76.2	0	0.0	0	0
2020-08-29	166	127	76.5	0	0.0	0	0
2020-08-04	157	128	81.5	0	0.0	0	0
2020-08-31	166	129	77.7	3	1.8	2	66.7
2020-07-15	160	129	80.6	0	0.0	0	0
2020-09-06	164	129	78.7	1	0.6	1	100.0
2020-05-13	168	115	68.5	3	1.8	1	33.3
2020-08-22	158	127	80.4	1	0.6	0	0.0
2020-09-01	164	127	77.4	2	1.2	1	50.0
2020-09-21	164	128	78.0	0	0.0	0	0
2020-05-02	164	132	80.5	13	7.9	7	53.8
2020-06-29	162	125	77.2	0	0.0	0	0
2020-06-11	160	115	71.9	0	0.0	0	0
2020-06-06	165	128	77.6	0	0.0	0	0
2020-08-21	167	131	78.4	1	0.6	0	0.0
2020-06-14	159	127	79.9	0	0.0	0	0
2020-07-16	158	131	82.9	0	0.0	0	0
2020-08-30	166	126	75.9	0	0.0	0	0
2020-05-29	167	119	71.3	0	0.0	0	0
2020-09-04	168	127	75.6	1	0.6	1	100.0
2020-08-20	166	122	73.5	1	0.6	0	0.0
2020-05-05	168	120	71.4	10	6.0	4	40.0
2020-05-31	162	119	73.5	0	0.0	0	0
2020-08-28	169	131	77.5	1	0.6	0	0.0
2020-08-25	166	123	74.1	1	0.6	0	0.0
2020-05-28	170	123	72.4	1	0.6	0	0.0
2020-06-28	161	128	79.5	0	0.0	0	0
2020-07-31	160	128	80.0	0	0.0	0	0
2020-09-19	161	127	78.9	0	0.0	0	0
2020-07-26	160	126	78.8	0	0.0	0	0
2020-06-21	163	132	81.0	0	0.0	0	0
2020-05-30	168	122	72.6	0	0.0	0	0
2020-05-25	165	117	70.9	1	0.6	0	0.0
2020-08-14	160	130	81.2	0	0.0	0	0
2020-07-22	159	135	84.9	0	0.0	0	0
2020-05-09	166	129	77.7	4	2.4	1	25.0
2020-05-19	175	114	65.1	0	0.0	0	0
2020-06-09	160	105	65.6	0	0.0	0	0
2020-04-28	163	124	76.1	18	11.0	19	105.6
2020-06-19	160	131	81.9	0	0.0	0	0
2020-07-04	168	134	79.8	0	0.0	0	0
2020-07-19	156	124	79.5	0	0.0	0	0
2020-05-06	164	125	76.2	9	5.5	4	44.4
2020-09-09	166	127	76.5	2	1.2	1	50.0
2020-08-11	156	118	75.6	0	0.0	0	0
2020-06-30	162	128	79.0	0	0.0	0	0
2020-05-20	175	114	65.1	0	0.0	0	0
2020-07-28	158	119	75.3	0	0.0	0	0
2020-08-09	165	118	71.5	0	0.0	0	0
2020-07-01	163	138	84.7	0	0.0	0	0
2020-06-24	158	130	82.3	0	0.0	0	0
2020-06-13	159	130	81.8	0	0.0	0	0
2020-08-02	158	118	74.7	0	0.0	0	0
2020-07-02	166	134	80.7	0	0.0	0	0
2020-05-24	174	124	71.3	1	0.6	0	0.0
2020-09-22	163	129	79.1	0	0.0	0	0
2020-07-06	165	119	72.1	0	0.0	0	0
2020-06-05	163	130	79.8	0	0.0	0	0
2020-08-24	167	112	67.1	2	1.2	0	0.0
2020-05-11	169	116	68.6	3	1.8	1	33.3
2020-08-08	165	118	71.5	0	0.0	0	0
2020-08-06	155	126	81.3	0	0.0	0	0
2020-07-18	158	124	78.5	0	0.0	0	0
2020-06-22	161	128	79.5	0	0.0	0	0
2020-06-20	161	134	83.2	0	0.0	0	0
2020-07-14	161	133	82.6	0	0.0	0	0
