Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Cases_Last_Week_Per_100000	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent	Cases_Last_Week_Doubling_Time
-190	2020-02-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-189	2020-02-29	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-188	2020-03-01	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-187	2020-03-02	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-186	2020-03-03	1	0	1	0	0	0	0	0	0	0.0	0	0.0	0.0			
-185	2020-03-04	1	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-184	2020-03-05	1	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-183	2020-03-06	2	0	1	0	2	0	0	0	0	0.0	0	0.0	0.0			
-182	2020-03-07	2	0	0	0	2	0	0	0	0	0.0	0	0.0	0.0			
-181	2020-03-08	4	0	2	0	4	0	1	0	0	0.0	1	0.0	0.1			
-180	2020-03-09	6	0	2	0	6	0	2	0	0	0.0	2	0.0	0.2			
-179	2020-03-10	9	0	3	0	8	0	3	0	1	0.0	3	0.0	0.3			
-178	2020-03-11	24	0	15	0	23	0	9	0	5	0.0	9	0.0	0.9			
-177	2020-03-12	30	0	6	0	29	0	11	0	2	0.0	11	0.0	1.1			
-176	2020-03-13	44	0	14	0	42	0	17	0	5	0.0	16	0.0	1.6			
-175	2020-03-14	61	0	17	0	59	0	24	0	6	0.0	23	0.0	2.3			1.6
-174	2020-03-15	84	0	23	0	80	0	33	0	9	0.0	31	0.0	3.1			1.8
-173	2020-03-16	94	0	10	0	88	0	37	0	3	0.0	35	0.0	3.5			2.2
-172	2020-03-17	73	0	0	0	64	0	29	0	0	0.0	25	0.0	2.5			3.1
-171	2020-03-18	92	0	19	0	68	0	36	0	7	0.0	27	0.0	2.7			3.8
-170	2020-03-19	134	0	42	0	104	0	53	0	16	0.0	41	0.0	4.1			3.9
-169	2020-03-20	192	0	58	0	148	0	76	0	23	0.0	58	0.0	5.8			3.7
-168	2020-03-21	254	0	62	0	193	0	101	0	24	0.0	76	0.0	7.6			3.4
-167	2020-03-22	274	0	20	0	190	0	109	0	7	0.0	75	0.0	7.5			3.7
-166	2020-03-23	288	0	14	0	194	0	114	0	5	0.0	77	0.0	7.7			4.2
-165	2020-03-24	343	0	55	0	270	0	136	0	21	0.0	107	0.0	10.7			4.2
-164	2020-03-25	429	1	86	1	337	1	170	0	34	0.398	134	0.4	13.4			4.0
-163	2020-03-26	477	1	48	0	343	1	189	0	19	0.0	136	0.4	13.6			4.3
-162	2020-03-27	537	1	60	0	345	1	213	0	23	0.0	137	0.4	13.7			4.8
-161	2020-03-28	645	1	108	0	391	1	256	0	42	0.0	155	0.4	15.5			5.1
-160	2020-03-29	721	1	76	0	447	1	287	0	30	0.0	177	0.4	17.7			5.3
-159	2020-03-30	761	2	40	1	473	2	302	0	15	0.398	188	0.8	18.8			5.7
-158	2020-03-31	798	2	37	0	455	2	317	0	14	0.0	181	0.8	18.1			6.5
-157	2020-04-01	881	4	83	2	452	3	350	1	33	0.796	179	1.19	17.9			7.8
-156	2020-04-02	995	7	114	3	518	6	396	2	45	1.194	206	2.39	20.6			8.6
-155	2020-04-03	1075	9	80	2	538	8	427	3	31	0.796	214	3.18	21.4			9.5
-154	2020-04-04	1211	12	136	3	566	11	482	4	54	1.194	225	4.38	22.5			10.2
-153	2020-04-05	1305	17	94	5	584	16	519	6	37	1.991	232	6.37	23.2			11.4
-152	2020-04-06	1345	19	40	2	584	17	535	7	15	0.796	232	6.77	23.2			13.4
-151	2020-04-07	1384	20	39	1	586	18	550	7	15	0.398	233	7.17	23.3			15.4
-150	2020-04-08	1472	22	88	2	591	18	586	8	35	0.796	235	7.17	23.5			17.0
-149	2020-04-09	1578	30	106	8	583	23	628	11	42	3.185	232	9.16	23.2			19.8
-148	2020-04-10	1691	37	113	7	616	28	673	14	44	2.787	245	11.15	24.5			23.3
-147	2020-04-11	1764	37	73	0	553	25	702	14	29	0.0	220	9.95	22.0			31.3
-146	2020-04-12	1857	38	93	1	552	21	739	15	37	0.398	219	8.36	21.9			41.2
-145	2020-04-13	1880	38	23	0	535	19	748	15	9	0.0	212	7.56	21.2			59.4
-144	2020-04-14	1916	40	36	2	532	20	762	15	14	0.796	211	7.96	21.1			131.7
-143	2020-04-15	1950	42	34	2	478	20	776	16	13	0.796	190	7.96	19.0			-154.3
-142	2020-04-16	2058	54	108	12	480	24	819	21	42	4.777	191	9.55	19.1			-65.2
-141	2020-04-17	2120	60	62	6	429	23	843	23	24	2.389	170	9.16	17.0			-38.2
-140	2020-04-18	2161	62	41	2	397	25	860	24	16	0.796	158	9.95	15.8			-27.6
-139	2020-04-19	2221	66	60	4	364	28	884	26	23	1.592	144	11.15	14.4			-21.7
-138	2020-04-20	2238	66	17	0	358	28	890	26	6	0.0	142	11.15	14.2			-18.2
-137	2020-04-21	2275	67	37	1	359	27	905	26	14	0.398	142	10.75	14.2			-16.2
-136	2020-04-22	2389	74	114	7	439	32	951	29	45	2.787	174	12.74	17.4			-16.8
