Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Cases_Last_Week_Per_100000	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent	Cases_Last_Week_Doubling_Time
-210	2020-02-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-209	2020-02-29	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-208	2020-03-01	1	0	1	0	0	0	1	0	1	0.0	0	0.0	0.0			
-207	2020-03-02	1	0	0	0	0	0	1	0	0	0.0	0	0.0	0.0			
-206	2020-03-03	2	0	1	0	0	0	2	0	1	0.0	0	0.0	0.0			
-205	2020-03-04	3	0	1	0	0	0	4	0	1	0.0	0	0.0	0.0			
-204	2020-03-05	3	0	0	0	0	0	4	0	0	0.0	0	0.0	0.0			
-203	2020-03-06	4	0	1	0	4	0	5	0	1	0.0	5	0.0	0.5			
-202	2020-03-07	4	0	0	0	4	0	5	0	0	0.0	5	0.0	0.5			
-201	2020-03-08	4	0	0	0	3	0	5	0	0	0.0	4	0.0	0.4			
-200	2020-03-09	4	0	0	0	3	0	5	0	0	0.0	4	0.0	0.4			
-199	2020-03-10	4	0	0	0	2	0	5	0	0	0.0	2	0.0	0.2			
-198	2020-03-11	21	0	17	0	18	0	30	0	24	0.0	26	0.0	2.6			0.3
-197	2020-03-12	38	0	17	0	35	0	55	0	24	0.0	51	0.0	5.1			0.8
-196	2020-03-13	42	0	4	0	38	0	61	0	5	0.0	55	0.0	5.5			1.4
-195	2020-03-14	50	0	8	0	46	0	73	0	11	0.0	67	0.0	6.7			1.8
-194	2020-03-15	53	0	3	0	49	0	77	0	4	0.0	71	0.0	7.1			2.3
-193	2020-03-16	56	0	3	0	52	0	81	0	4	0.0	76	0.0	7.6			2.8
-192	2020-03-17	57	0	1	0	53	0	83	0	1	0.0	77	0.0	7.7			3.3
-191	2020-03-18	69	0	12	0	48	0	101	0	17	0.0	70	0.0	7.0			4.1
-190	2020-03-19	80	0	11	0	42	0	117	0	16	0.0	61	0.0	6.1			5.3
-189	2020-03-20	121	0	41	0	79	0	177	0	60	0.0	115	0.0	11.5			5.1
-188	2020-03-21	142	0	21	0	92	0	207	0	30	0.0	134	0.0	13.4			4.9
-187	2020-03-22	165	0	23	0	112	0	241	0	33	0.0	163	0.0	16.3			4.8
-186	2020-03-23	170	0	5	0	114	0	248	0	7	0.0	166	0.0	16.6			5.1
-185	2020-03-24	183	0	13	0	126	0	267	0	19	0.0	184	0.0	18.4			5.5
-184	2020-03-25	200	0	17	0	131	0	292	0	24	0.0	191	0.0	19.1			6.0
-183	2020-03-26	211	1	11	1	131	1	308	1	16	1.464	191	1.46	19.1			6.5
-182	2020-03-27	241	1	30	0	120	1	352	1	43	0.0	175	1.46	17.5			7.6
-181	2020-03-28	260	2	19	1	118	2	380	2	27	1.464	172	2.93	17.2			8.9
-180	2020-03-29	275	2	15	0	110	2	402	2	21	0.0	161	2.93	16.1			10.8
