Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Cases_Last_Week_Per_100000	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent	Cases_Last_Week_Doubling_Time
-185	2020-02-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-184	2020-02-29	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-183	2020-03-01	1	0	1	0	0	0	0	0	0	0.0	0	0.0	0.0			
-182	2020-03-02	2	0	1	0	0	0	1	0	0	0.0	0	0.0	0.0			
-181	2020-03-03	2	0	0	0	0	0	1	0	0	0.0	0	0.0	0.0			
-180	2020-03-04	3	0	1	0	0	0	1	0	0	0.0	0	0.0	0.0			
-179	2020-03-05	5	0	2	0	0	0	2	0	1	0.0	0	0.0	0.0			
-178	2020-03-06	11	0	6	0	11	0	5	0	3	0.0	5	0.0	0.5			
-177	2020-03-07	13	0	2	0	13	0	7	0	1	0.0	7	0.0	0.7			
-176	2020-03-08	13	0	0	0	12	0	7	0	0	0.0	6	0.0	0.6			
-175	2020-03-09	17	0	4	0	15	0	9	0	2	0.0	8	0.0	0.8			
-174	2020-03-10	29	0	12	0	27	0	15	0	6	0.0	14	0.0	1.4			
-173	2020-03-11	48	0	19	0	45	0	26	0	10	0.0	24	0.0	2.4			1.6
-172	2020-03-12	88	0	40	0	83	0	47	0	21	0.0	45	0.0	4.5			1.3
-171	2020-03-13	99	0	11	0	88	0	53	0	5	0.0	47	0.0	4.7			1.8
-170	2020-03-14	158	0	59	0	145	0	85	0	32	0.0	78	0.0	7.8			1.8
-169	2020-03-15	162	0	4	0	149	0	87	0	2	0.0	80	0.0	8.0			2.2
-168	2020-03-16	260	0	98	0	243	0	141	0	53	0.0	131	0.0	13.1			2.1
-167	2020-03-17	310	0	50	0	281	0	168	0	27	0.0	152	0.0	15.2			2.4
-166	2020-03-18	358	0	48	0	310	0	194	0	26	0.0	168	0.0	16.8			2.7
-165	2020-03-19	432	0	74	0	344	0	234	0	40	0.0	186	0.0	18.6			3.1
-164	2020-03-20	586	0	154	0	487	0	318	0	83	0.0	264	0.0	26.4			3.1
-163	2020-03-21	587	0	1	0	429	0	318	0	0	0.0	233	0.0	23.3			3.7
-162	2020-03-22	872	0	285	0	710	0	473	0	154	0.0	385	0.0	38.5			3.4
-161	2020-03-23	943	0	71	0	683	0	512	0	38	0.0	370	0.0	37.0			3.8
-160	2020-03-24	1043	0	100	0	733	0	566	0	54	0.0	398	0.0	39.8			4.2
-159	2020-03-25	1262	0	219	0	904	0	685	0	118	0.0	490	0.0	49.0			4.4
-158	2020-03-26	1265	0	3	0	833	0	687	0	1	0.0	452	0.0	45.2			5.1
