Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Cases_Last_Week_Per_100000	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent	Cases_Last_Week_Doubling_Time
-196	2020-02-28	1	0	1	0	0	0	0	0	0	0.0	0	0.0	0.0			
-195	2020-02-29	1	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-194	2020-03-01	2	0	1	0	0	0	0	0	0	0.0	0	0.0	0.0			
-193	2020-03-02	2	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-192	2020-03-03	2	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-191	2020-03-04	2	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-190	2020-03-05	7	0	5	0	0	0	2	0	1	0.0	0	0.0	0.0			
-189	2020-03-06	7	0	0	0	6	0	2	0	0	0.0	2	0.0	0.2			
-188	2020-03-07	8	0	1	0	7	0	2	0	0	0.0	2	0.0	0.2			
-187	2020-03-08	7	0	0	0	5	0	2	0	0	0.0	1	0.0	0.1			
-186	2020-03-09	9	0	2	0	7	0	3	0	0	0.0	2	0.0	0.2			
-185	2020-03-10	9	0	0	0	7	0	3	0	0	0.0	2	0.0	0.2			
-184	2020-03-11	27	0	18	0	25	0	9	0	6	0.0	8	0.0	0.8			
-183	2020-03-12	31	0	4	0	24	0	10	0	1	0.0	8	0.0	0.8			
-182	2020-03-13	48	0	17	0	41	0	16	0	5	0.0	14	0.0	1.4			
-181	2020-03-14	60	0	12	0	52	0	20	0	4	0.0	17	0.0	1.7			1.9
-180	2020-03-15	103	0	43	0	96	0	35	0	14	0.0	33	0.0	3.3			1.5
-179	2020-03-16	123	0	20	0	114	0	42	0	6	0.0	39	0.0	3.9			1.8
-178	2020-03-17	127	0	4	0	118	0	43	0	1	0.0	40	0.0	4.0			2.3
-177	2020-03-18	159	0	32	0	132	0	54	0	11	0.0	45	0.0	4.5			2.8
-176	2020-03-19	202	0	43	0	171	0	69	0	14	0.0	59	0.0	5.9			2.9
-175	2020-03-20	266	1	64	1	218	1	91	0	22	0.345	75	0.35	7.5			3.0
-174	2020-03-21	308	1	42	0	248	1	106	0	14	0.0	85	0.35	8.5			3.2
-173	2020-03-22	347	1	39	0	244	1	119	0	13	0.0	84	0.35	8.4			3.7
-172	2020-03-23	383	1	36	0	260	1	132	0	12	0.0	89	0.35	8.9			4.3
-171	2020-03-24	478	2	95	1	351	2	165	0	32	0.345	121	0.69	12.1			4.4
-170	2020-03-25	577	3	99	1	418	3	199	1	34	0.345	144	1.04	14.4			4.4
-169	2020-03-26	675	3	98	0	473	3	233	1	33	0.0	163	1.04	16.3			4.5
-168	2020-03-27	812	4	137	1	546	3	280	1	47	0.345	188	1.04	18.8			4.6
-167	2020-03-28	915	4	103	0	607	3	315	1	35	0.0	209	1.04	20.9			4.8
-166	2020-03-29	1005	6	90	2	658	5	346	2	31	0.69	227	1.73	22.7			5.0
-165	2020-03-30	1049	7	44	1	666	6	362	2	15	0.345	229	2.07	22.9			5.5
-164	2020-03-31	1120	9	71	2	642	7	386	3	24	0.69	221	2.42	22.1			6.4
-163	2020-04-01	1246	10	126	1	669	7	430	3	43	0.345	230	2.42	23.0			7.3
-162	2020-04-02	1335	11	89	1	660	8	460	3	30	0.345	227	2.76	22.7			8.6
-161	2020-04-03	1443	15	108	4	631	11	498	5	37	1.381	217	3.8	21.7			10.3
-160	2020-04-04	1559	17	116	2	644	13	538	5	40	0.69	222	4.49	22.2			12.5
-159	2020-04-05	1631	18	72	1	626	12	563	6	24	0.345	216	4.14	21.6			16.5
-158	2020-04-06	1671	20	40	2	622	13	576	6	13	0.69	214	4.49	21.4			24.7
-157	2020-04-07	1730	24	59	4	610	15	597	8	20	1.381	210	5.18	21.0			41.3
-156	2020-04-08	1827	28	97	4	581	18	630	9	33	1.381	200	6.21	20.0			111.0
-155	2020-04-09	1932	34	105	6	597	23	666	11	36	2.071	206	7.94	20.6			
-154	2020-04-10	2029	38	97	4	586	23	700	13	33	1.381	202	7.94	20.2			-90.6
-153	2020-04-11	2065	39	36	1	506	22	712	13	12	0.345	174	7.59	17.4			-48.1
-152	2020-04-12	2118	41	53	2	487	23	731	14	18	0.69	168	7.94	16.8			-37.1
-151	2020-04-13	2134	44	16	3	463	24	736	15	5	1.036	159	8.29	15.9			-30.3
-150	2020-04-14	2164	49	30	5	434	25	747	16	10	1.726	149	8.63	14.9			-24.2
-149	2020-04-15	2245	54	81	5	418	26	775	18	27	1.726	144	8.98	14.4			-21.4
-148	2020-04-16	2294	55	49	1	362	21	791	18	16	0.345	124	7.25	12.4			-18.3
-147	2020-04-17	2349	59	55	4	320	21	810	20	18	1.381	110	7.25	11.0			-15.2
-146	2020-04-18	2387	61	38	2	322	22	824	21	13	0.69	111	7.59	11.1			-13.6
-145	2020-04-19	2417	62	30	1	299	21	834	21	10	0.345	103	7.25	10.3			-12.3
-144	2020-04-20	2426	67	9	5	292	23	837	23	3	1.726	100	7.94	10.0			-11.4
-143	2020-04-21	2414	70	0	3	250	21	833	24	0	1.036	86	7.25	8.6			-10.5
-142	2020-04-22	2496	79	82	9	251	25	861	27	28	3.107	86	8.63	8.6			-9.8
-141	2020-04-23	2530	84	34	5	236	29	873	28	11	1.726	81	10.01	8.1			-9.8
-140	2020-04-24	2557	88	27	4	208	29	882	30	9	1.381	71	10.01	7.1			-10.1
-139	2020-04-25	2612	95	55	7	225	34	901	32	18	2.417	77	11.74	7.7			-10.1
-138	2020-04-26	2630	96	18	1	213	34	907	33	6	0.345	73	11.74	7.3	7.8	58.6	-10.4
-137	2020-04-27	2638	98	8	2	212	31	910	33	2	0.69	73	10.7	7.3	7.5	59.1	-11.1
-136	2020-04-28	2653	101	15	3	239	31	915	34	5	1.036	82	10.7	8.2	7.5	59.4	-12.9
-135	2020-04-29	2679	103	26	2	183	24	924	35	8	0.69	63	8.29	6.3	7.2	60.5	-14.7
-134	2020-04-30	2690	106	11	3	160	22	928	36	3	1.036	55	7.59	5.5	6.8	60.6	-15.0
-133	2020-05-01	2714	110	24	4	157	22	936	37	8	1.381	54	7.59	5.4	6.7	60.5	-14.4
-132	2020-05-02	2728	112	14	2	116	17	941	38	4	0.69	40	5.87	4.0	6.4	59.8	-13.6
-131	2020-05-03	2738	113	10	1	108	17	945	39	3	0.345	37	5.87	3.7	6.2	58.7	-12.6
-130	2020-05-04	2788	113	50	0	150	15	962	39	17	0.0	51	5.18	5.1	6.1	59.1	-13.5
-129	2020-05-05	2799	118	11	5	146	17	966	40	3	1.726	50	5.87	5.0	5.9	59.7	-13.3
-128	2020-05-06	2815	119	16	1	136	16	971	41	5	0.345	46	5.52	4.6	5.8	61.2	-13.5
-127	2020-05-07	2834	120	19	1	144	14	978	41	6	0.345	49	4.83	4.9	5.6	61.5	-14.1
-126	2020-05-08	2860	122	26	2	146	12	987	42	8	0.69	50	4.14	5.0	5.2	61.9	-13.9
-125	2020-05-09	2898	122	38	0	170	10	1000	42	13	0.0	58	3.45	5.8	5.1	61.6	-17.4
-124	2020-05-10	2938	123	40	1	200	10	1014	42	13	0.345	69	3.45	6.9	4.9	60.7	-31.3
-123	2020-05-11	2957	124	19	1	169	11	1020	42	6	0.345	58	3.8	5.8	4.9	60.0	
-122	2020-05-12	2956	125	0	1	157	7	1020	43	0	0.345	54	2.42	5.4	4.7	61.3	
-121	2020-05-13	2972	125	16	0	157	6	1025	43	5	0.0	54	2.07	5.4	4.4	62.2	
-120	2020-05-14	2982	125	10	0	148	5	1029	43	3	0.0	51	1.73	5.1	4.0	62.1	
-119	2020-05-15	2988	126	6	1	128	4	1031	43	2	0.345	44	1.38	4.4	3.9	62.5	
-118	2020-05-16	2998	126	10	0	100	4	1034	43	3	0.0	34	1.38	3.4	3.6	62.7	
-117	2020-05-17	3000	126	2	0	62	3	1035	43	0	0.0	21	1.04	2.1	3.5	61.5	-31.0
-116	2020-05-18	3002	126	2	0	45	2	1036	43	0	0.0	15	0.69	1.5	3.5	60.3	-17.7
-115	2020-05-19	3002	128	0	2	46	3	1036	44	0	0.69	15	1.04	1.5	3.4	61.7	-12.5
-114	2020-05-20	3014	131	12	3	42	6	1040	45	4	1.036	14	2.07	1.4	3.2	62.8	-9.2
-113	2020-05-21	3021	134	7	3	39	9	1042	46	2	1.036	13	3.11	1.3	3.0	62.9	-7.2
-112	2020-05-22	3039	134	18	0	51	8	1049	46	6	0.0	17	2.76	1.7	2.9	61.9	
-111	2020-05-23	3062	136	23	2	64	10	1057	46	7	0.69	22	3.45	2.2	2.8	61.6	
-110	2020-05-24	3062	137	0	1	62	11	1057	47	0	0.345	21	3.8	2.1	2.7	60.4	
-109	2020-05-25	3062	137	0	0	60	11	1057	47	0	0.0	20	3.8	2.0	2.7	60.3	
-108	2020-05-26	3067	139	5	2	65	11	1058	47	1	0.69	22	3.8	2.2	2.5	62.1	-5.6
