Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Cases_Last_Week_Per_100000	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent	Cases_Last_Week_Doubling_Time
-198	2020-02-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-197	2020-02-29	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-196	2020-03-01	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-195	2020-03-02	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-194	2020-03-03	1	0	1	0	0	0	0	0	0	0.0	0	0.0	0.0			
-193	2020-03-04	1	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-192	2020-03-05	1	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-191	2020-03-06	2	0	1	0	2	0	0	0	0	0.0	0	0.0	0.0			
-190	2020-03-07	4	0	2	0	4	0	0	0	0	0.0	0	0.0	0.0			
-189	2020-03-08	4	0	0	0	4	0	0	0	0	0.0	0	0.0	0.0			
-188	2020-03-09	12	0	8	0	12	0	2	0	1	0.0	2	0.0	0.2			
-187	2020-03-10	22	0	10	0	21	0	5	0	2	0.0	5	0.0	0.5			
-186	2020-03-11	26	0	4	0	25	0	6	0	0	0.0	6	0.0	0.6			
-185	2020-03-12	45	0	19	0	44	0	11	0	4	0.0	10	0.0	1.0			
-184	2020-03-13	83	0	38	0	81	0	20	0	9	0.0	19	0.0	1.9			
-183	2020-03-14	93	0	10	0	89	0	22	0	2	0.0	21	0.0	2.1			1.7
-182	2020-03-15	130	0	37	0	126	0	31	0	9	0.0	30	0.0	3.0			1.8
-181	2020-03-16	140	0	10	0	128	0	34	0	2	0.0	31	0.0	3.1			2.3
-180	2020-03-17	182	0	42	0	160	0	44	0	10	0.0	39	0.0	3.9			2.6
-179	2020-03-18	198	0	16	0	172	0	48	0	3	0.0	42	0.0	4.2			3.0
-178	2020-03-19	275	0	77	0	230	0	67	0	18	0.0	56	0.0	5.6			3.1
