Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Cases_Last_Week_Per_100000	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent	Cases_Last_Week_Doubling_Time
-202	2020-02-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-201	2020-02-29	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-200	2020-03-01	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-199	2020-03-02	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-198	2020-03-03	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-197	2020-03-04	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-196	2020-03-05	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-195	2020-03-06	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-194	2020-03-07	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-193	2020-03-08	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-192	2020-03-09	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-191	2020-03-10	7	0	7	0	7	0	3	0	3	0.0	3	0.0	0.3			
-190	2020-03-11	15	0	8	0	15	0	6	0	3	0.0	6	0.0	0.6			
-189	2020-03-12	27	0	12	0	27	0	12	0	5	0.0	12	0.0	1.2			
-188	2020-03-13	42	0	15	0	42	0	19	0	6	0.0	19	0.0	1.9			
-187	2020-03-14	45	0	3	0	45	0	20	0	1	0.0	20	0.0	2.0			1.6
-186	2020-03-15	47	0	2	0	47	0	21	0	0	0.0	21	0.0	2.1			2.2
-185	2020-03-16	77	0	30	0	77	0	34	0	13	0.0	34	0.0	3.4			2.2
-184	2020-03-17	58	0	0	0	51	0	26	0	0	0.0	23	0.0	2.3			3.0
-183	2020-03-18	105	0	47	0	90	0	47	0	21	0.0	40	0.0	4.0			3.0
-182	2020-03-19	140	0	35	0	113	0	63	0	15	0.0	51	0.0	5.1			3.0
-181	2020-03-20	180	0	40	0	138	0	81	0	18	0.0	62	0.0	6.2			3.1
-180	2020-03-21	188	1	8	1	143	1	85	0	3	0.453	64	0.45	6.4			3.5
