Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Cases_Last_Week_Per_100000	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent	Cases_Last_Week_Doubling_Time
-199	2020-02-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-198	2020-02-29	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-197	2020-03-01	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-196	2020-03-02	0	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-195	2020-03-03	1	0	1	0	0	0	0	0	0	0.0	0	0.0	0.0			
-194	2020-03-04	1	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-193	2020-03-05	1	0	0	0	0	0	0	0	0	0.0	0	0.0	0.0			
-192	2020-03-06	1	0	0	0	1	0	0	0	0	0.0	0	0.0	0.0			
-191	2020-03-07	2	0	1	0	2	0	0	0	0	0.0	0	0.0	0.0			
-190	2020-03-08	2	0	0	0	2	0	0	0	0	0.0	0	0.0	0.0			
-189	2020-03-09	2	0	0	0	2	0	0	0	0	0.0	0	0.0	0.0			
-188	2020-03-10	4	0	2	0	3	0	1	0	0	0.0	1	0.0	0.1			
-187	2020-03-11	10	0	6	0	9	0	4	0	2	0.0	4	0.0	0.4			
-186	2020-03-12	14	0	4	0	13	0	6	0	1	0.0	6	0.0	0.6			
-185	2020-03-13	29	0	15	0	28	0	13	0	6	0.0	13	0.0	1.3			
-184	2020-03-14	46	0	17	0	44	0	21	0	7	0.0	20	0.0	2.0			1.2
-183	2020-03-15	51	0	5	0	49	0	23	0	2	0.0	22	0.0	2.2			1.7
-182	2020-03-16	55	0	4	0	53	0	25	0	1	0.0	24	0.0	2.4			2.1
-181	2020-03-17	51	0	0	0	47	0	23	0	0	0.0	21	0.0	2.1			2.8
-180	2020-03-18	74	0	23	0	64	0	34	0	10	0.0	29	0.0	2.9			3.1
-179	2020-03-19	98	0	24	0	84	0	45	0	11	0.0	39	0.0	3.9			3.1
-178	2020-03-20	149	0	51	0	120	0	69	0	23	0.0	55	0.0	5.5			2.9
-177	2020-03-21	187	0	38	0	141	0	87	0	17	0.0	65	0.0	6.5			3.0
-176	2020-03-22	216	0	29	0	165	0	100	0	13	0.0	76	0.0	7.6			3.2
-175	2020-03-23	249	0	33	0	194	0	116	0	15	0.0	90	0.0	9.0			3.4
-174	2020-03-24	327	1	78	1	276	1	152	0	36	0.467	128	0.47	12.8			3.1
-173	2020-03-25	394	1	67	0	320	1	183	0	31	0.0	149	0.47	14.9			3.2
-172	2020-03-26	468	3	74	2	370	3	218	1	34	0.933	172	1.4	17.2			3.4
-171	2020-03-27	542	4	74	1	393	4	252	1	34	0.467	183	1.87	18.3			3.7
-170	2020-03-28	584	5	42	1	397	5	272	2	19	0.467	185	2.33	18.5			4.2
-169	2020-03-29	697	5	113	0	481	5	325	2	52	0.0	224	2.33	22.4			4.5
-168	2020-03-30	719	5	22	0	470	5	335	2	10	0.0	219	2.33	21.9			5.1
-167	2020-03-31	784	6	65	1	457	5	365	2	30	0.467	213	2.33	21.3			6.0
-166	2020-04-01	860	6	76	0	466	5	401	2	35	0.0	217	2.33	21.7			7.1
-165	2020-04-02	925	7	65	1	457	4	431	3	30	0.467	213	1.87	21.3			8.5
-164	2020-04-03	982	9	57	2	440	5	458	4	26	0.933	205	2.33	20.5			10.7
-163	2020-04-04	1072	10	90	1	488	5	500	4	41	0.467	227	2.33	22.7			13.0
-162	2020-04-05	1140	10	68	0	443	5	531	4	31	0.0	206	2.33	20.6			17.9
-161	2020-04-06	1176	12	36	2	457	7	548	5	16	0.933	213	3.27	21.3			26.7
-160	2020-04-07	1208	18	32	6	424	12	563	8	14	2.8	197	5.6	19.7			46.1
-159	2020-04-08	1285	20	77	2	425	14	599	9	35	0.933	198	6.53	19.8			107.9
-158	2020-04-09	1351	20	66	0	426	13	630	9	30	0.0	198	6.07	19.8			
-157	2020-04-10	1416	24	65	4	434	15	660	11	30	1.866	202	7.0	20.2			
-156	2020-04-11	1435	25	19	1	363	15	669	11	8	0.467	169	7.0	16.9			-53.3
-155	2020-04-12	1464	25	29	0	324	15	683	11	13	0.0	151	7.0	15.1			-38.3
-154	2020-04-13	1485	27	21	2	309	15	692	12	9	0.933	144	7.0	14.4			-29.2
-153	2020-04-14	1504	31	19	4	296	13	701	14	8	1.866	138	6.07	13.8			-23.1
