Country	Date	Population	Cases	Deaths	Cases_Per_Million	Deaths_Per_Million
Austria	2020-10-14	8902600	58672	872	6631	98
Belgium	2020-10-14	11515793	181511	10278	15891	899
Canada	2020-10-14	37894799	192064	9719	5182	262
Czechia	2020-10-14	10649800	139290	1172	13108	110
Denmark	2020-10-14	5822763	34087	675	5879	116
Finland	2020-10-14	5521158	12703	350	2302	63
France	2020-10-14	67022000	820376	33058	12246	493
Germany	2020-10-14	83149300	344487	9716	4154	117
Greece	2020-10-14	10768477	23495	469	2190	43
Hungary	2020-10-14	9772756	40782	1023	4174	104
Iran	2020-10-14	83183741	513219	29349	6274	358
Italy	2020-10-14	60317546	372799	36289	6168	600
Japan	2020-10-14	126150000	90694	1646	716	13
Netherlands	2020-10-14	17424978	201942	6720	11719	389
Portugal	2020-10-14	10276617	91193	2117	8869	205
South Korea	2020-10-14	51709098	24988	439	483	8
Spain	2020-10-14	46733038	908056	33413	19434	715
Sweden	2020-10-14	10333456	101332	5907	9950	580
Switzerland	2020-10-14	8570146	68704	2109	8067	247
Turkey	2020-10-14	83154997	340450	9014	4135	109
United Kingdom	2020-10-14	67545757	657459	43245	9888	650
United States	2020-10-14	328239523	7916099	216872	24195	662
