Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-255	2020-01-22	0	0	0	0	0	0	0	0.0						0	0.0
-254	2020-01-23	0	0	0	0	0	0	0	0.0						0	0.0
-253	2020-01-24	0	0	0	0	0	0	0	0.0						0	0.0
-252	2020-01-25	0	0	0	0	0	0	0	0.0						0	0.0
-251	2020-01-26	0	0	0	0	0	0	0	0.0						0	0.0
-250	2020-01-27	0	0	0	0	0	0	0	0.0						0	0.0
-249	2020-01-28	0	0	0	0	0	0	0	0.0						0	0.0
-248	2020-01-29	0	0	0	0	0	0	0	0.0						0	0.0
-247	2020-01-30	0	0	0	0	0	0	0	0.0						0	0.0
-246	2020-01-31	0	0	0	0	0	0	0	0.0						0	0.0
-245	2020-02-01	0	0	0	0	0	0	0	0.0						0	0.0
-244	2020-02-02	0	0	0	0	0	0	0	0.0						0	0.0
-243	2020-02-03	0	0	0	0	0	0	0	0.0						0	0.0
-242	2020-02-04	0	0	0	0	0	0	0	0.0						0	0.0
-241	2020-02-05	0	0	0	0	0	0	0	0.0						0	0.0
-240	2020-02-06	0	0	0	0	0	0	0	0.0						0	0.0
-239	2020-02-07	0	0	0	0	0	0	0	0.0						0	0.0
-238	2020-02-08	0	0	0	0	0	0	0	0.0						0	0.0
-237	2020-02-09	0	0	0	0	0	0	0	0.0						0	0.0
-236	2020-02-10	0	0	0	0	0	0	0	0.0						0	0.0
-235	2020-02-11	0	0	0	0	0	0	0	0.0						0	0.0
-234	2020-02-12	0	0	0	0	0	0	0	0.0						0	0.0
-233	2020-02-13	0	0	0	0	0	0	0	0.0						0	0.0
-232	2020-02-14	0	0	0	0	0	0	0	0.0						0	0.0
-231	2020-02-15	0	0	0	0	0	0	0	0.0						0	0.0
-230	2020-02-16	0	0	0	0	0	0	0	0.0						0	0.0
-229	2020-02-17	0	0	0	0	0	0	0	0.0						0	0.0
-228	2020-02-18	0	0	0	0	0	0	0	0.0						0	0.0
-227	2020-02-19	0	0	0	0	0	0	0	0.0						0	0.0
-226	2020-02-20	0	0	0	0	0	0	0	0.0						0	0.0
-225	2020-02-21	0	0	0	0	0	0	0	0.0						0	0.0
-224	2020-02-22	0	0	0	0	0	0	0	0.0						0	0.0
-223	2020-02-23	0	0	0	0	0	0	0	0.0						0	0.0
-222	2020-02-24	0	0	0	0	0	0	0	0.0						0	0.0
-221	2020-02-25	0	0	0	0	0	0	0	0.0						0	0.0
-220	2020-02-26	0	0	0	0	0	0	0	0.0						0	0.0
-219	2020-02-27	0	0	0	0	0	0	0	0.0						0	0.0
-218	2020-02-28	0	0	0	0	0	0	0	0.0						0	0.0
-217	2020-02-29	0	0	0	0	0	0	0	0.0						0	0.0
-216	2020-03-01	0	0	0	0	0	0	0	0.0						0	0.0
-215	2020-03-02	0	0	0	0	0	0	0	0.0						0	0.0
-214	2020-03-03	0	0	0	0	0	0	0	0.0						0	0.0
-213	2020-03-04	0	0	0	0	0	0	0	0.0						0	0.0
-212	2020-03-05	0	0	0	0	0	0	0	0.0						0	0.0
-211	2020-03-06	0	0	0	0	0	0	0	0.0						0	0.0
-210	2020-03-07	0	0	0	0	0	0	0	0.0						0	0.0
-209	2020-03-08	4	0	4	0	0	0	0	0.0						0	0.0
-208	2020-03-09	4	0	0	0	0	0	0	0.0						0	0.0
-207	2020-03-10	4	0	0	0	0	0	0	0.0						0	0.0
-206	2020-03-11	7	1	3	1	1	0	0	0.143						1	0.14
-205	2020-03-12	7	1	0	0	1	0	0	0.0						1	0.14
-204	2020-03-13	23	1	16	0	3	0	2	0.0						3	0.14
-203	2020-03-14	41	2	18	1	5	0	2	0.143					0	5	0.29
-202	2020-03-15	51	2	10	0	7	0	1	0.0					1	6	0.29
-201	2020-03-16	52	2	1	0	7	0	0	0.0					2	6	0.29
-200	2020-03-17	67	2	15	0	9	0	2	0.0					3	9	0.29
-199	2020-03-18	92	2	25	0	13	0	3	0.0					4	12	0.14
-198	2020-03-19	94	3	2	1	13	0	0	0.143					5	12	0.29
-197	2020-03-20	127	3	33	0	18	0	4	0.0					6	14	0.29
-196	2020-03-21	163	3	36	0	23	0	5	0.0					7	17	0.14
-195	2020-03-22	187	3	24	0	26	0	3	0.0					8	19	0.14
-194	2020-03-23	201	3	14	0	28	0	2	0.0					9	21	0.14
-193	2020-03-24	218	3	17	0	31	0	2	0.0					10	21	0.14
-192	2020-03-25	242	3	24	0	34	0	3	0.0					11	21	0.14
-191	2020-03-26	264	3	22	0	37	0	3	0.0					12	24	0.0
-190	2020-03-27	293	3	29	0	41	0	4	0.0					13	23	0.0
-189	2020-03-28	331	7	38	4	47	1	5	0.571					14	24	0.57
-188	2020-03-29	346	8	15	1	49	1	2	0.143					15	22	0.71
-187	2020-03-30	359	8	13	0	51	1	1	0.0					16	22	0.71
-186	2020-03-31	399	8	40	0	57	1	5	0.0					17	25	0.71
-185	2020-04-01	422	10	23	2	60	1	3	0.286					18	25	1.0
-184	2020-04-02	457	10	35	0	65	1	5	0.0					19	27	1.0
-183	2020-04-03	485	14	28	4	69	2	4	0.571					20	27	1.57
-182	2020-04-04	503	17	18	3	71	2	2	0.429					21	24	1.43
-181	2020-04-05	531	20	28	3	75	2	4	0.429					22	26	1.71
-180	2020-04-06	549	22	18	2	78	3	2	0.286					23	27	2.0
-179	2020-04-07	577	23	28	1	82	3	4	0.143					24	25	2.14
-178	2020-04-08	593	24	16	1	84	3	2	0.143					25	24	2.0
-177	2020-04-09	618	24	25	0	88	3	3	0.0					26	23	2.0
-176	2020-04-10	635	25	17	1	90	3	2	0.143					27	21	1.57
-175	2020-04-11	661	28	26	3	94	4	3	0.429					28	22	1.57
-174	2020-04-12	675	29	14	1	96	4	2	0.143					29	20	1.29
-173	2020-04-13	685	32	10	3	97	4	1	0.429					30	19	1.43
-172	2020-04-14	713	35	28	3	101	5	4	0.429					31	19	1.71
-171	2020-04-15	747	36	34	1	106	5	4	0.143					32	22	1.71
-170	2020-04-16	800	38	53	2	114	5	7	0.286					33	26	2.0
-169	2020-04-17	846	41	46	3	120	5	6	0.429					34	30	2.29
-168	2020-04-18	878	41	32	0	125	5	4	0.0					35	31	1.86
-167	2020-04-19	894	42	16	1	127	6	2	0.143					36	31	1.86
-166	2020-04-20	929	43	35	1	132	6	5	0.143					37	34	1.57
-165	2020-04-21	975	45	46	2	139	6	6	0.286					38	37	1.43
-164	2020-04-22	1024	49	49	4	146	7	7	0.571					39	39	1.86
-163	2020-04-23	1097	52	73	3	156	7	10	0.429					40	42	2.0
-162	2020-04-24	1234	54	137	2	176	7	19	0.286					41	55	1.86
-161	2020-04-25	1247	55	13	1	178	7	1	0.143					42	52	2.0
-160	2020-04-26	1300	56	53	1	185	8	7	0.143					43	58	2.0
-159	2020-04-27	1363	58	63	2	194	8	9	0.286					44	62	2.14
-158	2020-04-28	1399	58	36	0	199	8	5	0.0					45	60	1.86
-157	2020-04-29	1447	64	48	6	206	9	6	0.857					46	60	2.14
-156	2020-04-30	1506	66	59	2	215	9	8	0.286					47	58	2.0
-155	2020-05-01	1555	68	49	2	222	9	7	0.286					48	45	2.0
-154	2020-05-02	1594	72	39	4	227	10	5	0.571					49	49	2.43
-153	2020-05-03	1618	73	24	1	231	10	3	0.143					50	45	2.43
-152	2020-05-04	1652	78	34	5	235	11	4	0.714					51	41	2.86
-151	2020-05-05	1704	80	52	2	243	11	7	0.286					52	43	3.14
-150	2020-05-06	1778	84	74	4	253	12	10	0.571					53	47	2.86
-149	2020-05-07	1829	84	51	0	261	12	7	0.0					54	46	2.57
-148	2020-05-08	1872	86	43	2	267	12	6	0.286					55	45	2.57
-147	2020-05-09	1921	90	49	4	274	12	7	0.571					56	46	2.57
-146	2020-05-10	1965	91	44	1	280	13	6	0.143					57	49	2.57
-145	2020-05-11	1990	93	25	2	284	13	3	0.286					58	48	2.14
-144	2020-05-12	2023	95	33	2	288	13	4	0.286					59	45	2.14
-143	2020-05-13	2069	96	46	1	295	13	6	0.143					60	41	1.71
-142	2020-05-14	2100	99	31	3	299	14	4	0.429					61	38	2.14
-141	2020-05-15	2138	102	38	3	305	14	5	0.429					62	38	2.29
-140	2020-05-16	2175	105	37	3	310	15	5	0.429					63	36	2.14
-139	2020-05-17	2211	108	36	3	315	15	5	0.429					64	35	2.43
-138	2020-05-18	2235	110	24	2	319	15	3	0.286					65	35	2.43
-137	2020-05-19	2259	112	24	2	322	16	3	0.286					66	33	2.43
-136	2020-05-20	2292	116	33	4	327	16	4	0.571					67	31	2.86
-135	2020-05-21	2331	120	39	4	332	17	5	0.571					68	33	3.0
-134	2020-05-22	2372	125	41	5	338	17	5	0.714					69	33	3.29
-133	2020-05-23	2408	126	36	1	343	18	5	0.143					70	33	3.0
-132	2020-05-24	2427	130	19	4	346	18	2	0.571					71	30	3.14
