Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-253	2020-01-22	548	17	548	17	0	0	0	0.012					0	0	0.0
-252	2020-01-23	643	18	95	1	0	0	0	0.001					1	0	0.0
-251	2020-01-24	920	26	277	8	0	0	0	0.006					2	0	0.0
-250	2020-01-25	1406	42	486	16	1	0	0	0.011					3	0	0.0
-249	2020-01-26	2075	56	669	14	1	0	0	0.01					4	0	0.0
-248	2020-01-27	2877	82	802	26	2	0	0	0.019					5	0	0.0
-247	2020-01-28	5509	131	2632	49	3	0	1	0.035					6	0	0.0
-246	2020-01-29	6087	133	578	2	4	0	0	0.001					7	3	0.08
-245	2020-01-30	8141	171	2054	38	5	0	1	0.027					8	5	0.11
-244	2020-01-31	9802	213	1661	42	7	0	1	0.03					9	6	0.13
-243	2020-02-01	11891	259	2089	46	8	0	1	0.033					10	7	0.16
-242	2020-02-02	16630	361	4739	102	11	0	3	0.073					11	10	0.22
-241	2020-02-03	19716	425	3086	64	14	0	2	0.046					12	12	0.25
-240	2020-02-04	23707	491	3991	66	17	0	2	0.047					13	13	0.26
-239	2020-02-05	27440	563	3733	72	19	0	2	0.052					14	15	0.31
-238	2020-02-06	30587	633	3147	70	21	0	2	0.05					15	16	0.33
-237	2020-02-07	34110	718	3523	85	24	0	2	0.061					16	17	0.36
-236	2020-02-08	36814	805	2704	87	26	0	1	0.062					17	17	0.39
-235	2020-02-09	39829	905	3015	100	28	0	2	0.072					18	16	0.39
-234	2020-02-10	42354	1012	2525	107	30	0	1	0.077					19	16	0.42
-233	2020-02-11	44386	1112	2032	100	31	0	1	0.072					20	14	0.45
-232	2020-02-12	44759	1117	373	5	32	0	0	0.004					21	12	0.4
-231	2020-02-13	59895	1369	15136	252	43	0	10	0.181					22	21	0.53
-230	2020-02-14	66358	1521	6463	152	47	1	4	0.109					23	23	0.58
-229	2020-02-15	68413	1663	2055	142	49	1	1	0.102					24	22	0.62
-228	2020-02-16	70513	1766	2100	103	50	1	1	0.074					25	22	0.62
-227	2020-02-17	72434	1864	1921	98	52	1	1	0.07					26	21	0.61
-226	2020-02-18	74211	2003	1777	139	53	1	1	0.1					27	21	0.64
-225	2020-02-19	74619	2116	408	113	53	1	0	0.081					28	21	0.72
