Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-226	2020-01-22	0	0	0	0	0	0	0	0.0						0	0.0
-225	2020-01-23	0	0	0	0	0	0	0	0.0						0	0.0
-224	2020-01-24	0	0	0	0	0	0	0	0.0						0	0.0
-223	2020-01-25	0	0	0	0	0	0	0	0.0						0	0.0
-222	2020-01-26	0	0	0	0	0	0	0	0.0						0	0.0
-221	2020-01-27	0	0	0	0	0	0	0	0.0						0	0.0
-220	2020-01-28	0	0	0	0	0	0	0	0.0						0	0.0
-219	2020-01-29	0	0	0	0	0	0	0	0.0						0	0.0
-218	2020-01-30	0	0	0	0	0	0	0	0.0						0	0.0
-217	2020-01-31	0	0	0	0	0	0	0	0.0						0	0.0
-216	2020-02-01	0	0	0	0	0	0	0	0.0						0	0.0
-215	2020-02-02	0	0	0	0	0	0	0	0.0						0	0.0
-214	2020-02-03	0	0	0	0	0	0	0	0.0						0	0.0
-213	2020-02-04	0	0	0	0	0	0	0	0.0						0	0.0
-212	2020-02-05	0	0	0	0	0	0	0	0.0						0	0.0
-211	2020-02-06	0	0	0	0	0	0	0	0.0						0	0.0
-210	2020-02-07	0	0	0	0	0	0	0	0.0						0	0.0
-209	2020-02-08	0	0	0	0	0	0	0	0.0						0	0.0
-208	2020-02-09	0	0	0	0	0	0	0	0.0						0	0.0
-207	2020-02-10	0	0	0	0	0	0	0	0.0						0	0.0
-206	2020-02-11	0	0	0	0	0	0	0	0.0						0	0.0
-205	2020-02-12	0	0	0	0	0	0	0	0.0						0	0.0
-204	2020-02-13	0	0	0	0	0	0	0	0.0						0	0.0
-203	2020-02-14	0	0	0	0	0	0	0	0.0						0	0.0
-202	2020-02-15	0	0	0	0	0	0	0	0.0						0	0.0
-201	2020-02-16	0	0	0	0	0	0	0	0.0						0	0.0
-200	2020-02-17	0	0	0	0	0	0	0	0.0						0	0.0
-199	2020-02-18	0	0	0	0	0	0	0	0.0						0	0.0
-198	2020-02-19	0	0	0	0	0	0	0	0.0						0	0.0
-197	2020-02-20	0	0	0	0	0	0	0	0.0						0	0.0
-196	2020-02-21	0	0	0	0	0	0	0	0.0						0	0.0
-195	2020-02-22	0	0	0	0	0	0	0	0.0						0	0.0
-194	2020-02-23	0	0	0	0	0	0	0	0.0						0	0.0
-193	2020-02-24	0	0	0	0	0	0	0	0.0						0	0.0
-192	2020-02-25	0	0	0	0	0	0	0	0.0						0	0.0
-191	2020-02-26	0	0	0	0	0	0	0	0.0						0	0.0
-190	2020-02-27	0	0	0	0	0	0	0	0.0						0	0.0
-189	2020-02-28	0	0	0	0	0	0	0	0.0						0	0.0
-188	2020-02-29	0	0	0	0	0	0	0	0.0						0	0.0
-187	2020-03-01	1	0	1	0	0	0	0	0.0						0	0.0
-186	2020-03-02	1	0	0	0	0	0	0	0.0						0	0.0
-185	2020-03-03	1	0	0	0	0	0	0	0.0						0	0.0
-184	2020-03-04	1	0	0	0	0	0	0	0.0						0	0.0
-183	2020-03-05	1	0	0	0	0	0	0	0.0						0	0.0
-182	2020-03-06	2	0	1	0	0	0	0	0.0						0	0.0
-181	2020-03-07	2	0	0	0	0	0	0	0.0						0	0.0
-180	2020-03-08	5	0	3	0	0	0	0	0.0						0	0.0
-179	2020-03-09	5	0	0	0	0	0	0	0.0						0	0.0
-178	2020-03-10	5	0	0	0	0	0	0	0.0						0	0.0
-177	2020-03-11	5	0	0	0	0	0	0	0.0						0	0.0
-176	2020-03-12	5	0	0	0	0	0	0	0.0						0	0.0
-175	2020-03-13	5	0	0	0	0	0	0	0.0						0	0.0
-174	2020-03-14	11	0	6	0	1	0	0	0.0						0	0.0
-173	2020-03-15	11	0	0	0	1	0	0	0.0						0	0.0
-172	2020-03-16	11	0	0	0	1	0	0	0.0						0	0.0
-171	2020-03-17	21	1	10	1	1	0	0	0.094						1	0.09
-170	2020-03-18	21	1	0	0	1	0	0	0.0						1	0.09
-169	2020-03-19	34	2	13	1	3	0	1	0.094					0	2	0.19
-168	2020-03-20	72	2	38	0	6	0	3	0.0					1	6	0.19
-167	2020-03-21	112	2	40	0	10	0	3	0.0					2	9	0.19
-166	2020-03-22	202	3	90	1	19	0	8	0.094					3	17	0.28
-165	2020-03-23	245	3	43	0	23	0	4	0.0					4	22	0.28
-164	2020-03-24	312	6	67	3	29	0	6	0.282					5	27	0.47
-163	2020-03-25	392	10	80	4	36	0	7	0.376					6	34	0.85
-162	2020-03-26	488	10	96	0	45	0	9	0.0					7	42	0.75
-161	2020-03-27	581	20	93	10	54	1	8	0.941					8	47	1.69
-160	2020-03-28	719	28	138	8	67	2	12	0.753					9	57	2.45
-159	2020-03-29	859	39	140	11	80	3	13	1.035					10	61	3.39
-158	2020-03-30	901	42	42	3	84	3	3	0.282					11	61	3.67
-157	2020-03-31	1109	51	208	9	104	4	19	0.847					12	74	4.23
-156	2020-04-01	1284	57	175	6	120	5	16	0.565					13	83	4.42
-155	2020-04-02	1380	60	96	3	129	5	9	0.282					14	83	4.7
-154	2020-04-03	1488	68	108	8	140	6	10	0.753					15	85	4.52
-153	2020-04-04	1488	68	0	0	140	6	0	0.0					16	72	3.76
-152	2020-04-05	1745	82	257	14	164	7	24	1.317					17	83	4.05
-151	2020-04-06	1828	86	83	4	172	8	7	0.376					18	87	4.14
-150	2020-04-07	1956	98	128	12	184	9	12	1.129					19	79	4.42
-149	2020-04-08	2111	108	155	10	198	10	14	0.941					20	77	4.8
-148	2020-04-09	2349	118	238	10	221	11	22	0.941					21	91	5.46
-147	2020-04-10	2620	126	271	8	246	11	25	0.753					22	106	5.46
-146	2020-04-11	2759	135	139	9	259	12	13	0.847					23	119	6.3
-145	2020-04-12	2967	173	208	38	279	16	19	3.576					24	114	8.56
-144	2020-04-13	3167	177	200	4	298	16	18	0.376					25	125	8.56
-143	2020-04-14	3286	183	119	6	309	17	11	0.565					26	125	8.0
-142	2020-04-15	3614	189	328	6	340	17	30	0.565					27	141	7.62
-141	2020-04-16	3755	196	141	7	353	18	13	0.659					28	132	7.34
-140	2020-04-17	4126	200	371	4	388	18	34	0.376					29	141	6.96
-139	2020-04-18	4335	217	209	17	407	20	19	1.6					30	148	7.72
-138	2020-04-19	4680	226	345	9	440	21	32	0.847					31	161	4.99
-137	2020-04-20	4964	235	284	9	467	22	26	0.847					32	169	5.46
-136	2020-04-21	5044	245	80	10	474	23	7	0.941					33	165	5.83
-135	2020-04-22	5300	260	256	15	498	24	24	1.411					34	158	6.68
-134	2020-04-23	5543	265	243	5	521	24	22	0.47					35	168	6.49
-133	2020-04-24	5749	267	206	2	540	25	19	0.188					36	152	6.3
-132	2020-04-25	5926	273	177	6	557	25	16	0.565					37	149	5.27
-131	2020-04-26	6135	278	209	5	577	26	19	0.47					38	136	4.89
-130	2020-04-27	6293	282	158	4	592	26	14	0.376					39	125	4.42
-129	2020-04-28	6416	286	123	4	603	26	11	0.376					40	129	3.86
-128	2020-04-29	6652	293	236	7	625	27	22	0.659					41	127	3.11
-127	2020-04-30	6972	301	320	8	656	28	30	0.753					42	134	3.39
-126	2020-05-01	7288	313	316	12	685	29	29	1.129					43	144	4.33
-125	2020-05-02	7578	326	290	13	713	30	27	1.223					44	155	4.99
-124	2020-05-03	7954	333	376	7	748	31	35	0.659					45	171	5.18
-123	2020-05-04	8235	346	281	13	774	32	26	1.223					46	182	6.02
-122	2020-05-05	8480	354	245	8	797	33	23	0.753					47	194	6.4
-121	2020-05-06	8807	362	327	8	828	34	30	0.753					48	202	6.49
-120	2020-05-07	9095	373	288	11	855	35	27	1.035					49	199	6.78
-119	2020-05-08	9376	380	281	7	882	35	26	0.659					50	196	6.3
-118	2020-05-09	9882	385	506	5	929	36	47	0.47					51	216	5.55
-117	2020-05-10	10347	388	465	3	973	36	43	0.282					52	225	5.18
-116	2020-05-11	10634	393	287	5	1000	36	27	0.47					53	225	4.42
-115	2020-05-12	10900	402	266	9	1025	37	25	0.847					54	227	4.52
-114	2020-05-13	11196	409	296	7	1053	38	27	0.659					55	224	4.42
-113	2020-05-14	11320	422	124	13	1065	39	11	1.223					56	209	4.61
-112	2020-05-15	11739	424	419	2	1104	39	39	0.188					57	222	4.14
-111	2020-05-16	12110	428	371	4	1139	40	34	0.376					58	209	4.05
-110	2020-05-17	12314	428	204	0	1158	40	19	0.0					59	185	3.76
-109	2020-05-18	12725	434	411	6	1197	40	38	0.565					60	196	3.86
-108	2020-05-19	13223	441	498	7	1244	41	46	0.659					61	218	3.67
-107	2020-05-20	13477	446	254	5	1268	41	23	0.47					62	214	3.48
-106	2020-05-21	13657	448	180	2	1285	42	16	0.188					63	219	2.45
-105	2020-05-22	13989	456	332	8	1316	42	31	0.753					64	211	3.01
-104	2020-05-23	14422	458	433	2	1357	43	40	0.188					65	217	2.82
-103	2020-05-24	14801	458	379	0	1392	43	35	0.0					66	234	2.82
-102	2020-05-25	15073	460	272	2	1418	43	25	0.188					67	220	2.45
-101	2020-05-26	15264	468	191	8	1436	44	17	0.753					68	192	2.54
-100	2020-05-27	15723	474	459	6	1479	44	43	0.565					69	211	2.63
-99	2020-05-28	16068	485	345	11	1511	45	32	1.035					70	226	3.48
-98	2020-05-29	16531	488	463	3	1555	45	43	0.282					71	239	3.01
-97	2020-05-30	16908	498	377	10	1591	46	35	0.941					72	233	3.76
-96	2020-05-31	17285	502	377	4	1626	47	35	0.376					73	233	4.14
-95	2020-06-01	17572	502	287	0	1653	47	27	0.0					74	235	3.95
-94	2020-06-02	17752	515	180	13	1670	48	16	1.223					75	234	4.42
-93	2020-06-03	18040	516	288	1	1697	48	27	0.094					76	218	3.95
-92	2020-06-04	18319	520	279	4	1723	48	26	0.376					77	211	3.29
-91	2020-06-05	18708	525	389	5	1760	49	36	0.47					78	204	3.48
-90	2020-06-06	19195	536	487	11	1806	50	45	1.035					79	215	3.58
-89	2020-06-07	19600	538	405	2	1844	50	38	0.188					80	217	3.39
-88	2020-06-08	20126	539	526	1	1893	50	49	0.094					81	240	3.48
