Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-233	2020-01-22	0	0	0	0	0	0	0	0.0						0	0.0
-232	2020-01-23	0	0	0	0	0	0	0	0.0						0	0.0
-231	2020-01-24	0	0	0	0	0	0	0	0.0						0	0.0
-230	2020-01-25	0	0	0	0	0	0	0	0.0						0	0.0
-229	2020-01-26	0	0	0	0	0	0	0	0.0						0	0.0
-228	2020-01-27	0	0	0	0	0	0	0	0.0						0	0.0
-227	2020-01-28	0	0	0	0	0	0	0	0.0						0	0.0
-226	2020-01-29	0	0	0	0	0	0	0	0.0						0	0.0
-225	2020-01-30	0	0	0	0	0	0	0	0.0						0	0.0
-224	2020-01-31	0	0	0	0	0	0	0	0.0						0	0.0
-223	2020-02-01	0	0	0	0	0	0	0	0.0						0	0.0
-222	2020-02-02	0	0	0	0	0	0	0	0.0						0	0.0
-221	2020-02-03	0	0	0	0	0	0	0	0.0						0	0.0
-220	2020-02-04	0	0	0	0	0	0	0	0.0						0	0.0
-219	2020-02-05	0	0	0	0	0	0	0	0.0						0	0.0
-218	2020-02-06	0	0	0	0	0	0	0	0.0						0	0.0
-217	2020-02-07	0	0	0	0	0	0	0	0.0						0	0.0
-216	2020-02-08	0	0	0	0	0	0	0	0.0						0	0.0
-215	2020-02-09	0	0	0	0	0	0	0	0.0						0	0.0
-214	2020-02-10	0	0	0	0	0	0	0	0.0						0	0.0
-213	2020-02-11	0	0	0	0	0	0	0	0.0						0	0.0
-212	2020-02-12	0	0	0	0	0	0	0	0.0						0	0.0
-211	2020-02-13	0	0	0	0	0	0	0	0.0						0	0.0
-210	2020-02-14	0	0	0	0	0	0	0	0.0						0	0.0
-209	2020-02-15	0	0	0	0	0	0	0	0.0						0	0.0
-208	2020-02-16	0	0	0	0	0	0	0	0.0						0	0.0
-207	2020-02-17	0	0	0	0	0	0	0	0.0						0	0.0
-206	2020-02-18	0	0	0	0	0	0	0	0.0						0	0.0
-205	2020-02-19	0	0	0	0	0	0	0	0.0						0	0.0
-204	2020-02-20	0	0	0	0	0	0	0	0.0						0	0.0
-203	2020-02-21	0	0	0	0	0	0	0	0.0						0	0.0
-202	2020-02-22	0	0	0	0	0	0	0	0.0						0	0.0
-201	2020-02-23	0	0	0	0	0	0	0	0.0						0	0.0
-200	2020-02-24	0	0	0	0	0	0	0	0.0						0	0.0
-199	2020-02-25	0	0	0	0	0	0	0	0.0						0	0.0
-198	2020-02-26	0	0	0	0	0	0	0	0.0						0	0.0
-197	2020-02-27	0	0	0	0	0	0	0	0.0						0	0.0
-196	2020-02-28	0	0	0	0	0	0	0	0.0						0	0.0
-195	2020-02-29	0	0	0	0	0	0	0	0.0						0	0.0
-194	2020-03-01	6	0	6	0	0	0	0	0.0						0	0.0
-193	2020-03-02	6	0	0	0	0	0	0	0.0						0	0.0
-192	2020-03-03	7	0	1	0	0	0	0	0.0						0	0.0
-191	2020-03-04	10	0	3	0	0	0	0	0.0						0	0.0
-190	2020-03-05	13	0	3	0	0	0	0	0.0						0	0.0
-189	2020-03-06	13	0	0	0	0	0	0	0.0						0	0.0
-188	2020-03-07	13	0	0	0	0	0	0	0.0						0	0.0
-187	2020-03-08	14	0	1	0	0	0	0	0.0						0	0.0
-186	2020-03-09	15	0	1	0	0	0	0	0.0						0	0.0
-185	2020-03-10	15	0	0	0	0	0	0	0.0						0	0.0
-184	2020-03-11	17	0	2	0	0	0	0	0.0						0	0.0
-183	2020-03-12	17	0	0	0	0	0	0	0.0						0	0.0
-182	2020-03-13	17	0	0	0	0	0	0	0.0						0	0.0
-181	2020-03-14	28	2	11	2	1	0	0	0.117					0	0	0.12
-180	2020-03-15	28	2	0	0	1	0	0	0.0					1	0	0.12
-179	2020-03-16	37	2	9	0	2	0	0	0.0					2	1	0.12
-178	2020-03-17	58	2	21	0	3	0	1	0.0					3	2	0.12
-177	2020-03-18	111	2	53	0	6	0	3	0.0					4	5	0.12
-176	2020-03-19	199	3	88	1	11	0	5	0.059					5	10	0.18
-175	2020-03-20	367	5	168	2	21	0	9	0.117					6	20	0.29
-174	2020-03-21	506	7	139	2	29	0	8	0.117					7	27	0.29
-173	2020-03-22	789	14	283	7	46	0	16	0.41					8	44	0.7
-172	2020-03-23	981	18	192	4	57	1	11	0.234					9	55	0.94
-171	2020-03-24	1082	27	101	9	63	1	5	0.527					10	59	1.46
-170	2020-03-25	1173	28	91	1	68	1	5	0.059					11	62	1.52
-169	2020-03-26	1403	34	230	6	82	1	13	0.351					12	70	1.81
-168	2020-03-27	1595	36	192	2	93	2	11	0.117					13	71	1.81
-167	2020-03-28	1823	48	228	12	106	2	13	0.702					14	77	2.4
-166	2020-03-29	1924	58	101	10	112	3	5	0.585					15	66	2.58
-165	2020-03-30	1962	60	38	2	114	3	2	0.117					16	57	2.46
-164	2020-03-31	2240	75	278	15	131	4	16	0.878					17	67	2.81
-163	2020-04-01	2748	93	508	18	160	5	29	1.054					18	92	3.8
-162	2020-04-02	3163	120	415	27	185	7	24	1.58					19	103	5.03
-161	2020-04-03	3368	145	205	25	197	8	11	1.463					20	103	6.38
-160	2020-04-04	3465	172	97	27	202	10	5	1.58					21	96	7.26
-159	2020-04-05	3646	180	181	8	213	10	10	0.468					22	100	7.14
-158	2020-04-06	3747	191	101	11	219	11	5	0.644					23	104	7.67
-157	2020-04-07	3747	191	0	0	219	11	0	0.0					24	88	6.79
-156	2020-04-08	4450	242	703	51	260	14	41	2.985					25	99	8.72
-155	2020-04-09	4965	272	515	30	290	15	30	1.756					26	105	8.9
