Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-248	2020-01-22	0	0	0	0	0	0	0	0.0						0	0.0
-247	2020-01-23	0	0	0	0	0	0	0	0.0						0	0.0
-246	2020-01-24	0	0	0	0	0	0	0	0.0						0	0.0
-245	2020-01-25	0	0	0	0	0	0	0	0.0						0	0.0
-244	2020-01-26	0	0	0	0	0	0	0	0.0						0	0.0
-243	2020-01-27	0	0	0	0	0	0	0	0.0						0	0.0
-242	2020-01-28	0	0	0	0	0	0	0	0.0						0	0.0
-241	2020-01-29	1	0	1	0	0	0	0	0.0						0	0.0
-240	2020-01-30	1	0	0	0	0	0	0	0.0						0	0.0
-239	2020-01-31	1	0	0	0	0	0	0	0.0						0	0.0
-238	2020-02-01	1	0	0	0	0	0	0	0.0						0	0.0
-237	2020-02-02	1	0	0	0	0	0	0	0.0						0	0.0
-236	2020-02-03	1	0	0	0	0	0	0	0.0						0	0.0
-235	2020-02-04	1	0	0	0	0	0	0	0.0						0	0.0
-234	2020-02-05	1	0	0	0	0	0	0	0.0						0	0.0
-233	2020-02-06	1	0	0	0	0	0	0	0.0						0	0.0
-232	2020-02-07	1	0	0	0	0	0	0	0.0						0	0.0
-231	2020-02-08	1	0	0	0	0	0	0	0.0						0	0.0
-230	2020-02-09	1	0	0	0	0	0	0	0.0						0	0.0
-229	2020-02-10	1	0	0	0	0	0	0	0.0						0	0.0
-228	2020-02-11	1	0	0	0	0	0	0	0.0						0	0.0
-227	2020-02-12	1	0	0	0	0	0	0	0.0						0	0.0
-226	2020-02-13	1	0	0	0	0	0	0	0.0						0	0.0
-225	2020-02-14	1	0	0	0	0	0	0	0.0						0	0.0
-224	2020-02-15	1	0	0	0	0	0	0	0.0						0	0.0
-223	2020-02-16	1	0	0	0	0	0	0	0.0						0	0.0
-222	2020-02-17	1	0	0	0	0	0	0	0.0						0	0.0
-221	2020-02-18	1	0	0	0	0	0	0	0.0						0	0.0
-220	2020-02-19	1	0	0	0	0	0	0	0.0						0	0.0
-219	2020-02-20	1	0	0	0	0	0	0	0.0						0	0.0
-218	2020-02-21	1	0	0	0	0	0	0	0.0						0	0.0
-217	2020-02-22	1	0	0	0	0	0	0	0.0						0	0.0
-216	2020-02-23	1	0	0	0	0	0	0	0.0						0	0.0
-215	2020-02-24	1	0	0	0	0	0	0	0.0						0	0.0
-214	2020-02-25	1	0	0	0	0	0	0	0.0						0	0.0
-213	2020-02-26	2	0	1	0	0	0	0	0.0						0	0.0
-212	2020-02-27	2	0	0	0	0	0	0	0.0						0	0.0
-211	2020-02-28	2	0	0	0	0	0	0	0.0						0	0.0
-210	2020-02-29	3	0	1	0	0	0	0	0.0						0	0.0
-209	2020-03-01	6	0	3	0	1	0	0	0.0						0	0.0
-208	2020-03-02	6	0	0	0	1	0	0	0.0						0	0.0
-207	2020-03-03	6	0	0	0	1	0	0	0.0						0	0.0
-206	2020-03-04	6	0	0	0	1	0	0	0.0						0	0.0
-205	2020-03-05	12	0	6	0	2	0	1	0.0						1	0.0
-204	2020-03-06	15	0	3	0	2	0	0	0.0						2	0.0
-203	2020-03-07	15	0	0	0	2	0	0	0.0						2	0.0
-202	2020-03-08	23	0	8	0	4	0	1	0.0						3	0.0
-201	2020-03-09	30	0	7	0	5	0	1	0.0						4	0.0
-200	2020-03-10	40	0	10	0	7	0	1	0.0						6	0.0
-199	2020-03-11	59	0	19	0	10	0	3	0.0						9	0.0
-198	2020-03-12	59	0	0	0	10	0	0	0.0						8	0.0
-197	2020-03-13	155	0	96	0	28	0	17	0.0						25	0.0
-196	2020-03-14	225	0	70	0	40	0	12	0.0						38	0.0
-195	2020-03-15	244	0	19	0	44	0	3	0.0						40	0.0
-194	2020-03-16	277	0	33	0	50	0	5	0.0						44	0.0
-193	2020-03-17	321	0	44	0	58	0	7	0.0						50	0.0
-192	2020-03-18	336	0	15	0	60	0	2	0.0						50	0.0
-191	2020-03-19	400	0	64	0	72	0	11	0.0						61	0.0
-190	2020-03-20	450	0	50	0	81	0	9	0.0						53	0.0
-189	2020-03-21	523	1	73	1	94	0	13	0.181						54	0.18
-188	2020-03-22	626	1	103	0	113	0	18	0.0						69	0.18
-187	2020-03-23	700	1	74	0	126	0	13	0.0						76	0.18
-186	2020-03-24	792	1	92	0	143	0	16	0.0						85	0.18
-185	2020-03-25	880	3	88	2	159	0	15	0.362					0	98	0.54
-184	2020-03-26	958	5	78	2	173	0	14	0.362					1	101	0.91
-183	2020-03-27	1041	7	83	2	188	1	15	0.362					2	107	1.27
-182	2020-03-28	1167	9	126	2	211	1	22	0.362					3	116	1.45
-181	2020-03-29	1240	11	73	2	224	1	13	0.362					4	111	1.81
-180	2020-03-30	1352	13	112	2	245	2	20	0.362					5	118	2.17
-179	2020-03-31	1418	17	66	4	256	3	11	0.725					6	113	2.9
-178	2020-04-01	1446	17	28	0	262	3	5	0.0					7	102	2.54
-177	2020-04-02	1518	19	72	2	275	3	13	0.362					8	101	2.54
-176	2020-04-03	1615	20	97	1	292	3	17	0.181					9	104	2.36
-175	2020-04-04	1882	25	267	5	341	4	48	0.906					10	129	2.9
-174	2020-04-05	1927	28	45	3	349	5	8	0.544					11	124	3.08
-173	2020-04-06	2176	27	249	0	394	4	45	0.0					12	149	2.54
-172	2020-04-07	2308	34	132	7	418	6	23	1.269					13	161	3.08
-171	2020-04-08	2487	40	179	6	450	7	32	1.087					14	188	4.17
-170	2020-04-09	2605	42	118	2	472	7	21	0.362					15	196	4.17
-169	2020-04-10	2769	48	164	6	501	8	29	1.087					16	209	5.07
-168	2020-04-11	2905	49	136	1	526	8	24	0.181					17	185	4.35
-167	2020-04-12	2974	56	69	7	538	10	12	1.269					18	189	5.07
-166	2020-04-13	3064	59	90	3	555	10	16	0.544					19	160	5.8
-165	2020-04-14	3161	64	97	5	572	11	17	0.906					20	154	5.44
-164	2020-04-15	3237	72	76	8	586	13	13	1.45					21	135	5.8
-163	2020-04-16	3369	75	132	3	610	13	23	0.544					22	138	5.98
-162	2020-04-17	3489	82	120	7	632	14	21	1.269					23	130	6.16
-161	2020-04-18	3681	90	192	8	667	16	34	1.45					24	140	7.43
-160	2020-04-19	3783	94	102	4	685	17	18	0.725					25	146	6.89
-159	2020-04-20	3868	98	85	4	700	17	15	0.725					26	145	7.07
-158	2020-04-21	4014	141	146	43	727	25	26	7.793					27	154	13.95
-157	2020-04-22	4129	149	115	8	748	27	20	1.45					28	161	13.95
-156	2020-04-23	4284	172	155	23	776	31	28	4.168					29	165	17.58
-155	2020-04-24	4395	177	111	5	796	32	20	0.906					30	164	17.22
-154	2020-04-25	4475	186	80	9	810	33	14	1.631					31	143	17.4
-153	2020-04-26	4576	190	101	4	829	34	18	0.725					32	143	17.4
-152	2020-04-27	4695	193	119	3	850	34	21	0.544					33	149	17.22
-151	2020-04-28	4740	199	45	6	858	36	8	1.087					34	131	10.51
-150	2020-04-29	4906	206	166	7	889	37	30	1.269					35	140	10.33
-149	2020-04-30	4995	211	89	5	905	38	16	0.906					36	128	7.07
-148	2020-05-01	5051	218	56	7	915	39	10	1.269					37	118	7.43
-147	2020-05-02	5176	220	125	2	938	39	22	0.362					38	127	6.16
-146	2020-05-03	5254	230	78	10	952	41	14	1.812					39	122	7.25
-145	2020-05-04	5327	240	73	10	965	43	13	1.812					40	114	8.52
-144	2020-05-05	5412	246	85	6	980	44	15	1.087					41	121	8.52
-143	2020-05-06	5573	252	161	6	1009	45	29	1.087					42	120	8.34
-142	2020-05-07	5673	255	100	3	1028	46	18	0.544					43	122	7.97
-141	2020-05-08	5738	260	65	5	1039	47	11	0.906					44	124	7.61
-140	2020-05-09	5880	265	142	5	1065	48	25	0.906					45	127	8.16
-139	2020-05-10	5962	267	82	2	1080	48	14	0.362					46	128	6.71
-138	2020-05-11	5984	271	22	4	1084	49	3	0.725					47	119	5.62
-137	2020-05-12	6003	275	19	4	1087	49	3	0.725					48	107	5.26
-136	2020-05-13	6054	284	51	9	1097	51	9	1.631					49	87	5.8
-135	2020-05-14	6145	287	91	3	1113	52	16	0.544					50	85	5.8
-134	2020-05-15	6228	293	83	6	1128	53	15	1.087					51	88	5.98
-133	2020-05-16	6286	297	58	4	1139	53	10	0.725					52	73	5.8
-132	2020-05-17	6347	298	61	1	1150	54	11	0.181					53	69	5.62
-131	2020-05-18	6380	300	33	2	1156	54	5	0.362					54	71	5.26
-130	2020-05-19	6399	301	19	1	1159	54	3	0.181					55	71	4.71
-129	2020-05-20	6443	304	44	3	1167	55	7	0.544					56	70	3.62
-128	2020-05-21	6493	306	50	2	1176	55	9	0.362					57	63	3.44
-127	2020-05-22	6537	306	44	0	1184	55	7	0.0					58	55	2.36
-126	2020-05-23	6568	306	31	0	1190	55	5	0.0					59	51	1.63
-125	2020-05-24	6579	307	11	1	1192	55	1	0.181					60	42	1.63
-124	2020-05-25	6599	308	20	1	1195	55	3	0.181					61	39	1.45
-123	2020-05-26	6628	312	29	4	1201	56	5	0.725					62	41	1.99
-122	2020-05-27	6692	313	64	1	1212	56	11	0.181					63	45	1.63
-121	2020-05-28	6743	313	51	0	1221	56	9	0.0					64	45	1.27
-120	2020-05-29	6776	314	33	1	1227	56	5	0.181					65	43	1.45
-119	2020-05-30	6826	316	50	2	1237	57	9	0.362					66	46	1.81
-118	2020-05-31	6859	320	33	4	1243	57	5	0.725					67	50	2.36
-117	2020-06-01	6885	318	26	0	1247	57	4	0.0					68	51	1.81
-116	2020-06-02	6887	320	2	2	1248	57	0	0.362					69	46	1.45
-115	2020-06-03	6911	321	24	1	1252	58	4	0.181					70	39	1.45
-114	2020-06-04	6911	322	0	1	1252	58	0	0.181					71	30	1.63
-113	2020-06-05	6941	322	30	0	1257	58	5	0.0					72	29	1.45
-112	2020-06-06	6964	322	23	0	1262	58	4	0.0					73	25	1.09
-111	2020-06-07	6981	323	17	1	1265	58	3	0.181					74	22	0.54
-110	2020-06-08	7001	323	20	0	1268	58	3	0.0					75	21	0.91
-109	2020-06-09	7025	324	24	1	1273	58	4	0.181					76	25	0.72
-108	2020-06-10	7040	324	15	0	1275	58	2	0.0					77	23	0.54
-107	2020-06-11	7064	325	24	1	1280	58	4	0.181					78	27	0.54
-106	2020-06-12	7073	325	9	0	1281	58	1	0.0					79	23	0.54
-105	2020-06-13	7087	325	14	0	1284	58	2	0.0					80	22	0.54
-104	2020-06-14	7104	326	17	1	1287	59	3	0.181					81	22	0.54
-103	2020-06-15	7108	326	4	0	1288	59	0	0.0					82	19	0.54
-102	2020-06-16	7112	326	4	0	1288	59	0	0.0					83	15	0.36
-101	2020-06-17	7117	326	5	0	1289	59	0	0.0					84	13	0.36
