Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-224	2020-01-22	0	0	0	0	0	0	0	0.0						0	0.0
-223	2020-01-23	0	0	0	0	0	0	0	0.0						0	0.0
-222	2020-01-24	0	0	0	0	0	0	0	0.0						0	0.0
-221	2020-01-25	0	0	0	0	0	0	0	0.0						0	0.0
-220	2020-01-26	0	0	0	0	0	0	0	0.0						0	0.0
-219	2020-01-27	0	0	0	0	0	0	0	0.0						0	0.0
-218	2020-01-28	0	0	0	0	0	0	0	0.0						0	0.0
-217	2020-01-29	0	0	0	0	0	0	0	0.0						0	0.0
-216	2020-01-30	0	0	0	0	0	0	0	0.0						0	0.0
-215	2020-01-31	0	0	0	0	0	0	0	0.0						0	0.0
-214	2020-02-01	0	0	0	0	0	0	0	0.0						0	0.0
-213	2020-02-02	0	0	0	0	0	0	0	0.0						0	0.0
-212	2020-02-03	0	0	0	0	0	0	0	0.0						0	0.0
-211	2020-02-04	0	0	0	0	0	0	0	0.0						0	0.0
-210	2020-02-05	0	0	0	0	0	0	0	0.0						0	0.0
-209	2020-02-06	0	0	0	0	0	0	0	0.0						0	0.0
-208	2020-02-07	0	0	0	0	0	0	0	0.0						0	0.0
-207	2020-02-08	0	0	0	0	0	0	0	0.0						0	0.0
-206	2020-02-09	0	0	0	0	0	0	0	0.0						0	0.0
-205	2020-02-10	0	0	0	0	0	0	0	0.0						0	0.0
-204	2020-02-11	0	0	0	0	0	0	0	0.0						0	0.0
-203	2020-02-12	0	0	0	0	0	0	0	0.0						0	0.0
-202	2020-02-13	0	0	0	0	0	0	0	0.0						0	0.0
-201	2020-02-14	0	0	0	0	0	0	0	0.0						0	0.0
-200	2020-02-15	0	0	0	0	0	0	0	0.0						0	0.0
-199	2020-02-16	0	0	0	0	0	0	0	0.0						0	0.0
-198	2020-02-17	0	0	0	0	0	0	0	0.0						0	0.0
-197	2020-02-18	0	0	0	0	0	0	0	0.0						0	0.0
-196	2020-02-19	0	0	0	0	0	0	0	0.0						0	0.0
-195	2020-02-20	0	0	0	0	0	0	0	0.0						0	0.0
-194	2020-02-21	0	0	0	0	0	0	0	0.0						0	0.0
-193	2020-02-22	0	0	0	0	0	0	0	0.0						0	0.0
-192	2020-02-23	0	0	0	0	0	0	0	0.0						0	0.0
-191	2020-02-24	0	0	0	0	0	0	0	0.0						0	0.0
-190	2020-02-25	0	0	0	0	0	0	0	0.0						0	0.0
-189	2020-02-26	0	0	0	0	0	0	0	0.0						0	0.0
-188	2020-02-27	0	0	0	0	0	0	0	0.0						0	0.0
-187	2020-02-28	0	0	0	0	0	0	0	0.0						0	0.0
-186	2020-02-29	0	0	0	0	0	0	0	0.0						0	0.0
-185	2020-03-01	0	0	0	0	0	0	0	0.0						0	0.0
-184	2020-03-02	0	0	0	0	0	0	0	0.0						0	0.0
-183	2020-03-03	0	0	0	0	0	0	0	0.0						0	0.0
-182	2020-03-04	0	0	0	0	0	0	0	0.0						0	0.0
-181	2020-03-05	0	0	0	0	0	0	0	0.0						0	0.0
-180	2020-03-06	0	0	0	0	0	0	0	0.0						0	0.0
-179	2020-03-07	0	0	0	0	0	0	0	0.0						0	0.0
-178	2020-03-08	0	0	0	0	0	0	0	0.0						0	0.0
-177	2020-03-09	0	0	0	0	0	0	0	0.0						0	0.0
-176	2020-03-10	0	0	0	0	0	0	0	0.0						0	0.0
-175	2020-03-11	0	0	0	0	0	0	0	0.0						0	0.0
-174	2020-03-12	0	0	0	0	0	0	0	0.0						0	0.0
-173	2020-03-13	0	0	0	0	0	0	0	0.0						0	0.0
-172	2020-03-14	0	0	0	0	0	0	0	0.0						0	0.0
-171	2020-03-15	0	0	0	0	0	0	0	0.0						0	0.0
-170	2020-03-16	0	0	0	0	0	0	0	0.0						0	0.0
-169	2020-03-17	0	0	0	0	0	0	0	0.0						0	0.0
-168	2020-03-18	0	0	0	0	0	0	0	0.0						0	0.0
-167	2020-03-19	0	0	0	0	0	0	0	0.0						0	0.0
-166	2020-03-20	2	0	2	0	0	0	0	0.0						0	0.0
-165	2020-03-21	2	0	0	0	0	0	0	0.0						0	0.0
-164	2020-03-22	2	0	0	0	0	0	0	0.0						0	0.0
-163	2020-03-23	6	0	4	0	0	0	0	0.0						0	0.0
-162	2020-03-24	7	0	1	0	0	0	0	0.0						0	0.0
-161	2020-03-25	8	0	1	0	0	0	0	0.0						0	0.0
-160	2020-03-26	8	0	0	0	0	0	0	0.0						0	0.0
-159	2020-03-27	8	0	0	0	0	0	0	0.0						0	0.0
-158	2020-03-28	8	0	0	0	0	0	0	0.0						0	0.0
-157	2020-03-29	15	0	7	0	1	0	0	0.0						1	0.0
-156	2020-03-30	15	0	0	0	1	0	0	0.0						0	0.0
-155	2020-03-31	15	0	0	0	1	0	0	0.0						0	0.0
-154	2020-04-01	16	0	1	0	1	0	0	0.0						0	0.0
