Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-218	2020-01-22	0	0	0	0	0	0	0	0.0						0	0.0
-217	2020-01-23	0	0	0	0	0	0	0	0.0						0	0.0
-216	2020-01-24	0	0	0	0	0	0	0	0.0						0	0.0
-215	2020-01-25	0	0	0	0	0	0	0	0.0						0	0.0
-214	2020-01-26	0	0	0	0	0	0	0	0.0						0	0.0
-213	2020-01-27	0	0	0	0	0	0	0	0.0						0	0.0
-212	2020-01-28	0	0	0	0	0	0	0	0.0						0	0.0
-211	2020-01-29	0	0	0	0	0	0	0	0.0						0	0.0
-210	2020-01-30	0	0	0	0	0	0	0	0.0						0	0.0
-209	2020-01-31	0	0	0	0	0	0	0	0.0						0	0.0
-208	2020-02-01	0	0	0	0	0	0	0	0.0						0	0.0
-207	2020-02-02	0	0	0	0	0	0	0	0.0						0	0.0
-206	2020-02-03	0	0	0	0	0	0	0	0.0						0	0.0
-205	2020-02-04	0	0	0	0	0	0	0	0.0						0	0.0
-204	2020-02-05	0	0	0	0	0	0	0	0.0						0	0.0
-203	2020-02-06	0	0	0	0	0	0	0	0.0						0	0.0
-202	2020-02-07	0	0	0	0	0	0	0	0.0						0	0.0
-201	2020-02-08	0	0	0	0	0	0	0	0.0						0	0.0
-200	2020-02-09	0	0	0	0	0	0	0	0.0						0	0.0
-199	2020-02-10	0	0	0	0	0	0	0	0.0						0	0.0
-198	2020-02-11	0	0	0	0	0	0	0	0.0						0	0.0
-197	2020-02-12	0	0	0	0	0	0	0	0.0						0	0.0
-196	2020-02-13	0	0	0	0	0	0	0	0.0						0	0.0
-195	2020-02-14	0	0	0	0	0	0	0	0.0						0	0.0
-194	2020-02-15	0	0	0	0	0	0	0	0.0						0	0.0
-193	2020-02-16	0	0	0	0	0	0	0	0.0						0	0.0
-192	2020-02-17	0	0	0	0	0	0	0	0.0						0	0.0
-191	2020-02-18	0	0	0	0	0	0	0	0.0						0	0.0
-190	2020-02-19	0	0	0	0	0	0	0	0.0						0	0.0
-189	2020-02-20	0	0	0	0	0	0	0	0.0						0	0.0
-188	2020-02-21	0	0	0	0	0	0	0	0.0						0	0.0
-187	2020-02-22	0	0	0	0	0	0	0	0.0						0	0.0
-186	2020-02-23	0	0	0	0	0	0	0	0.0						0	0.0
-185	2020-02-24	0	0	0	0	0	0	0	0.0						0	0.0
-184	2020-02-25	0	0	0	0	0	0	0	0.0						0	0.0
-183	2020-02-26	0	0	0	0	0	0	0	0.0						0	0.0
-182	2020-02-27	0	0	0	0	0	0	0	0.0						0	0.0
-181	2020-02-28	0	0	0	0	0	0	0	0.0						0	0.0
-180	2020-02-29	0	0	0	0	0	0	0	0.0						0	0.0
-179	2020-03-01	0	0	0	0	0	0	0	0.0						0	0.0
-178	2020-03-02	0	0	0	0	0	0	0	0.0						0	0.0
-177	2020-03-03	0	0	0	0	0	0	0	0.0						0	0.0
-176	2020-03-04	0	0	0	0	0	0	0	0.0						0	0.0
-175	2020-03-05	0	0	0	0	0	0	0	0.0						0	0.0
-174	2020-03-06	0	0	0	0	0	0	0	0.0						0	0.0
-173	2020-03-07	0	0	0	0	0	0	0	0.0						0	0.0
-172	2020-03-08	1	0	1	0	0	0	0	0.0						0	0.0
-171	2020-03-09	1	0	0	0	0	0	0	0.0						0	0.0
-170	2020-03-10	3	0	2	0	0	0	0	0.0						0	0.0
-169	2020-03-11	3	0	0	0	0	0	0	0.0						0	0.0
-168	2020-03-12	3	0	0	0	0	0	0	0.0						0	0.0
-167	2020-03-13	6	0	3	0	1	0	0	0.0						1	0.0
-166	2020-03-14	12	0	6	0	3	0	1	0.0						3	0.0
-165	2020-03-15	23	0	11	0	6	0	3	0.0						6	0.0
-164	2020-03-16	23	0	0	0	6	0	0	0.0						6	0.0
-163	2020-03-17	30	0	7	0	8	0	1	0.0						7	0.0
-162	2020-03-18	30	1	0	1	8	0	0	0.282						7	0.28
-161	2020-03-19	49	1	19	0	13	0	5	0.0						12	0.28
-160	2020-03-20	66	1	17	0	18	0	4	0.0						16	0.28
-159	2020-03-21	80	1	14	0	22	0	3	0.0						19	0.28
-158	2020-03-22	94	1	14	0	26	0	3	0.0						20	0.28
-157	2020-03-23	109	1	15	0	30	0	4	0.0						24	0.28
-156	2020-03-24	125	1	16	0	35	0	4	0.0						26	0.28
-155	2020-03-25	149	1	24	0	42	0	6	0.0						33	0.0
-154	2020-03-26	177	1	28	0	49	0	7	0.0						36	0.0
-153	2020-03-27	199	2	22	1	56	0	6	0.282					0	37	0.28
-152	2020-03-28	231	2	32	0	65	0	9	0.0					1	42	0.28
-151	2020-03-29	263	2	32	0	74	0	9	0.0					2	47	0.28
-150	2020-03-30	298	2	35	0	84	0	9	0.0					3	53	0.28
-149	2020-03-31	353	4	55	2	99	1	15	0.564					4	64	0.85
-148	2020-04-01	423	5	70	1	119	1	19	0.282					5	77	1.13
-147	2020-04-02	505	6	82	1	142	1	23	0.282					6	92	1.41
-146	2020-04-03	591	8	86	2	166	2	24	0.564					7	110	1.69
-145	2020-04-04	752	12	161	4	212	3	45	1.128					8	146	2.82
-144	2020-04-05	864	15	112	3	243	4	31	0.846					9	169	3.67
-143	2020-04-06	965	19	101	4	272	5	28	1.128					10	188	4.79
-142	2020-04-07	1056	22	91	3	297	6	25	0.846					11	198	5.08
-141	2020-04-08	1174	27	118	5	331	7	33	1.41					12	211	6.2
-140	2020-04-09	1289	29	115	2	363	8	32	0.564					13	221	6.49
-139	2020-04-10	1438	29	149	0	405	8	42	0.0					14	238	5.92
-138	2020-04-11	1560	30	122	1	439	8	34	0.282					15	227	5.08
-137	2020-04-12	1662	31	102	1	468	8	28	0.282					16	225	4.51
-136	2020-04-13	1712	35	50	4	482	9	14	1.128					17	210	4.51
-135	2020-04-14	1934	40	222	5	545	11	62	1.41					18	247	5.08
-134	2020-04-15	2049	46	115	6	577	12	32	1.692					19	246	5.36
-133	2020-04-16	2154	54	105	8	607	15	29	2.256					20	243	7.05
-132	2020-04-17	2264	56	110	2	638	15	31	0.564					21	232	7.61
-131	2020-04-18	2378	57	114	1	670	16	32	0.282					22	230	7.61
-130	2020-04-19	2472	67	94	10	697	18	26	2.82					23	228	10.15
-129	2020-04-20	2548	70	76	3	718	19	21	0.846					24	235	9.87
-128	2020-04-21	2614	72	66	2	737	20	18	0.564					25	191	9.02
-127	2020-04-22	2778	75	164	3	783	21	46	0.846					26	205	8.18
-126	2020-04-23	2926	80	148	5	825	22	41	1.41					27	217	7.33
-125	2020-04-24	3110	84	184	4	877	23	51	1.128					28	238	7.9
-124	2020-04-25	3304	94	194	10	931	26	54	2.82					29	261	10.43
-123	2020-04-26	3408	96	104	2	961	27	29	0.564					30	263	8.18
-122	2020-04-27	3481	102	73	6	981	28	20	1.692					31	263	9.02
-121	2020-04-28	3638	103	157	1	1025	29	44	0.282					32	288	8.74
-120	2020-04-29	3771	111	133	8	1063	31	37	2.256					33	280	10.15
-119	2020-04-30	3897	116	126	5	1099	32	35	1.41					34	273	10.15
-118	2020-05-01	3980	122	83	6	1122	34	23	1.692					35	245	10.72
-117	2020-05-02	4052	124	72	2	1142	34	20	0.564					36	210	8.46
-116	2020-05-03	4121	125	69	1	1162	35	19	0.282					37	201	8.18
-115	2020-05-04	4248	132	127	7	1198	37	35	1.974					38	216	8.46
-114	2020-05-05	4363	136	115	4	1230	38	32	1.128					39	204	9.31
-113	2020-05-06	4476	143	113	7	1262	40	31	1.974					40	198	9.02
-112	2020-05-07	4605	145	129	2	1298	40	36	0.564					41	199	8.18
-111	2020-05-08	4728	150	123	5	1333	42	34	1.41					42	210	7.9
-110	2020-05-09	4867	161	139	11	1372	45	39	3.102					43	229	10.43
-109	2020-05-10	4927	169	60	8	1389	47	16	2.256					44	227	12.41
-108	2020-05-11	4995	175	68	6	1408	49	19	1.692					45	210	12.13
-107	2020-05-12	5154	182	159	7	1453	51	44	1.974					46	223	12.97
-106	2020-05-13	5406	185	252	3	1524	52	71	0.846					47	262	11.84
-105	2020-05-14	5553	194	147	9	1566	54	41	2.538					48	267	13.82
-104	2020-05-15	5745	202	192	8	1620	56	54	2.256					49	286	14.66
-103	2020-05-16	5934	207	189	5	1673	58	53	1.41					50	300	12.97
-102	2020-05-17	6060	211	126	4	1709	59	35	1.128					51	319	11.84
-101	2020-05-18	6138	217	78	6	1731	61	21	1.692					52	322	11.84
-100	2020-05-19	6340	221	202	4	1787	62	56	1.128					53	334	11.0
-99	2020-05-20	6553	228	213	7	1848	64	60	1.974					54	323	12.13
-98	2020-05-21	6704	233	151	5	1890	65	42	1.41					55	324	11.0
-97	2020-05-22	6847	237	143	4	1930	66	40	1.128					56	310	9.87
-96	2020-05-23	6994	242	147	5	1972	68	41	1.41					57	298	9.87
-95	2020-05-24	7093	250	99	8	2000	70	27	2.256					58	291	11.0
-94	2020-05-25	7147	261	54	11	2015	73	15	3.102					59	284	12.41
-93	2020-05-26	7305	267	158	6	2060	75	44	1.692					60	272	12.97
-92	2020-05-27	7537	274	232	7	2125	77	65	1.974					61	277	12.97
-91	2020-05-28	7725	282	188	8	2178	79	53	2.256					62	287	13.82
-90	2020-05-29	7896	288	171	6	2226	81	48	1.692					63	295	14.38
-89	2020-05-30	8098	291	202	3	2283	82	56	0.846					64	311	13.82
-88	2020-05-31	8251	295	153	4	2326	83	43	1.128					65	326	12.69
-87	2020-06-01	8360	305	109	10	2357	86	30	2.82					66	342	12.41
-86	2020-06-02	8548	307	188	2	2410	86	53	0.564					67	350	11.28
-85	2020-06-03	8795	310	247	3	2480	87	69	0.846					68	354	10.15
-84	2020-06-04	9018	315	223	5	2543	88	62	1.41					69	364	9.31
-83	2020-06-05	9247	323	229	8	2607	91	64	2.256					70	381	9.87
-82	2020-06-06	9511	331	264	8	2682	93	74	2.256					71	398	11.28
-81	2020-06-07	9700	341	189	10	2735	96	53	2.82					72	408	12.97
-80	2020-06-08	9807	353	107	12	2765	99	30	3.384					73	408	13.54
-79	2020-06-09	10025	365	218	12	2827	102	61	3.384					74	416	16.36
-78	2020-06-10	10321	371	296	6	2910	104	83	1.692					75	430	17.2
-77	2020-06-11	10727	375	406	4	3025	105	114	1.128					76	481	16.92
-76	2020-06-12	11093	385	366	10	3128	108	103	2.82					77	520	17.49
-75	2020-06-13	11459	398	366	13	3231	112	103	3.666					78	549	18.9
-74	2020-06-14	11740	406	281	8	3310	114	79	2.256					79	575	18.33
-73	2020-06-15	11879	411	139	5	3350	115	39	1.41					80	584	16.36
-72	2020-06-16	12254	423	375	12	3455	119	105	3.384					81	628	16.36
-71	2020-06-17	12732	433	478	10	3590	122	134	2.82					82	679	17.49
-70	2020-06-18	13106	444	374	11	3696	125	105	3.102					83	670	19.46
-69	2020-06-19	13556	450	450	6	3823	126	126	1.692					84	694	18.33
-68	2020-06-20	13953	464	397	14	3934	130	111	3.948					85	703	18.61
-67	2020-06-21	14200	473	247	9	4004	133	69	2.538					86	693	18.9
-66	2020-06-22	14363	480	163	7	4050	135	45	1.974					87	700	19.46
-65	2020-06-23	14714	490	351	10	4149	138	98	2.82					88	693	18.9
-64	2020-06-24	15078	495	364	5	4252	139	102	1.41					89	661	17.49
-63	2020-06-25	15453	502	375	7	4358	141	105	1.974					90	661	16.36
-62	2020-06-26	15776	515	323	13	4449	145	91	3.666					91	626	18.33
-61	2020-06-27	16080	521	304	6	4534	146	85	1.692					92	599	16.07
-60	2020-06-28	16250	530	170	9	4582	149	47	2.538					93	578	16.07
-59	2020-06-29	16357	536	107	6	4612	151	30	1.692					94	562	15.79
-58	2020-06-30	16613	545	256	9	4685	153	72	2.538					95	535	15.51
-57	2020-07-01	16898	549	285	4	4765	154	80	1.128					96	513	15.23
-56	2020-07-02	17150	560	252	11	4836	157	71	3.102					97	478	16.36
-55	2020-07-03	17445	572	295	12	4919	161	83	3.384					98	470	16.07
-54	2020-07-04	17672	580	227	8	4983	163	64	2.256					99	448	16.64
-53	2020-07-05	17814	585	142	5	5023	164	40	1.41					100	441	15.51
-52	2020-07-06	17906	592	92	7	5049	166	25	1.974					101	436	15.79
-51	2020-07-07	18141	603	235	11	5116	170	66	3.102					102	430	16.36
-50	2020-07-08	18471	614	330	11	5209	173	93	3.102					103	443	18.33
-49	2020-07-09	18666	624	195	10	5264	175	54	2.82					104	427	18.05
-48	2020-07-10	18924	635	258	11	5336	179	72	3.102					105	417	17.77
-47	2020-07-11	19208	640	284	5	5416	180	80	1.41					106	433	16.92
-46	2020-07-12	19382	642	174	2	5466	181	49	0.564					107	442	16.07
-45	2020-07-13	19439	649	57	7	5482	183	16	1.974					108	432	16.07
-44	2020-07-14	19708	655	269	6	5557	184	75	1.692					109	441	14.66
-43	2020-07-15	20040	659	332	4	5651	185	93	1.128					110	442	12.69
-42	2020-07-16	20264	666	224	7	5714	187	63	1.974					111	450	11.84
-41	2020-07-17	20494	675	230	9	5779	190	64	2.538					112	442	11.28
-40	2020-07-18	20794	680	300	5	5864	191	84	1.41					113	447	11.28
-39	2020-07-19	20980	684	186	4	5916	192	52	1.128					114	450	11.84
-38	2020-07-20	21115	695	135	11	5954	196	38	3.102					115	472	12.97
-37	2020-07-21	21442	707	327	12	6047	199	92	3.384					116	489	14.66
-36	2020-07-22	21798	712	356	5	6147	200	100	1.41					117	495	14.95
-35	2020-07-23	22105	719	307	7	6233	202	86	1.974					118	519	14.95
-34	2020-07-24	22483	726	378	7	6340	204	106	1.974					119	560	14.38
-33	2020-07-25	22828	732	345	6	6437	206	97	1.692					120	573	14.66
-32	2020-07-26	23034	735	206	3	6495	207	58	0.846					121	579	14.38
-31	2020-07-27	23154	748	120	13	6529	210	33	3.666					122	575	14.95
-30	2020-07-28	23521	753	367	5	6633	212	103	1.41					123	586	12.97
-29	2020-07-29	23947	759	426	6	6753	214	120	1.692					124	606	13.25
-28	2020-07-30	24343	771	396	12	6865	217	111	3.384					125	631	14.66
-27	2020-07-31	24733	778	390	7	6975	219	109	1.974					126	634	14.66
-26	2020-08-01	25113	788	380	10	7082	222	107	2.82					127	644	15.79
-25	2020-08-02	25362	791	249	3	7152	223	70	0.846					128	656	15.79
-24	2020-08-03	25482	800	120	9	7186	225	33	2.538					129	656	14.66
-23	2020-08-04	25814	810	332	10	7279	228	93	2.82					130	646	16.07
-22	2020-08-05	26222	823	408	13	7395	232	115	3.666					131	641	18.05
-21	2020-08-06	26628	828	406	5	7509	233	114	1.41					132	644	16.07
-20	2020-08-07	26990	835	362	7	7611	235	102	1.974					133	636	16.07
-19	2020-08-08	27443	841	453	6	7739	237	127	1.692					134	657	14.95
-18	2020-08-09	27660	845	217	4	7800	238	61	1.128					135	648	15.23
-17	2020-08-10	27841	850	181	5	7851	239	51	1.41					136	665	14.1
-16	2020-08-11	28223	857	382	7	7959	241	107	1.974					137	679	13.25
-15	2020-08-12	28697	863	474	6	8093	243	133	1.692					138	697	11.28
-14	2020-08-13	29087	878	390	15	8203	247	109	4.23					139	693	14.1
-13	2020-08-14	29483	884	396	6	8314	249	111	1.692					140	703	13.82
-12	2020-08-15	29905	895	422	11	8433	252	119	3.102					141	694	15.23
-11	2020-08-16	30183	896	278	1	8512	252	78	0.282					142	711	14.38
-10	2020-08-17	30377	908	194	12	8566	256	54	3.384					143	715	16.36
-9	2020-08-18	30789	908	412	0	8683	256	116	0.0					144	723	14.38
-8	2020-08-19	31415	914	626	6	8859	257	176	1.692					145	766	14.38
-7	2020-08-20	31937	921	522	7	9006	259	147	1.974					146	803	12.13
-6	2020-08-21	32484	929	547	8	9161	261	154	2.256					147	846	12.69
-5	2020-08-22	33072	935	588	6	9326	263	165	1.692					148	893	11.28
-4	2020-08-23	33478	940	406	5	9441	265	114	1.41					149	929	12.41
-3	2020-08-24	33828	945	350	5	9540	266	98	1.41					150	973	10.43
-2	2020-08-25	34358	960	530	15	9689	270	149	4.23					151	1006	14.66
-1	2020-08-26	34982	967	624	7	9865	272	175	1.974					152	1005	14.95
0	2020-08-27	35546	977	564	10	10024	275	159	2.82					153	1017	15.79
